i,  date,                time,    Tb, Vb, Ib, soc, soc_ekf, Voc_dyn, Voc_stat, tweak_sclr_amp, tweak_sclr_noa, falw,
0,  2022-09-14T15:44:16, 1663184656,  28.062,  14.386,   0.465,  0.9940,  0.9983,  14.382,  14.382,   1.000000,   1.000000, 0,
1,  2022-09-14T15:55:08, 1663185308,  28.125,  14.386,   0.330,  1.0000,  0.9995,  14.382,  14.381,   1.000000,   1.000000, 0,
2,  2022-09-14T16:13:03, 1663186383,  28.187,  14.390,   0.263,  1.0000,  0.9995,  14.387,  14.385,   1.000000,   1.000000, 0,
3,  2022-09-14T16:43:04, 1663188184,  28.437,  14.390,   0.263,  1.0000,  0.9994,  14.387,  14.384,   1.000000,   1.000000, 0,
4,  2022-09-14T17:13:04, 1663189984,  28.812,  14.377,   0.465,  1.0000,  0.9995,  14.373,  14.369,   1.000000,   1.000000, 0,
5,  2022-09-14T17:43:04, 1663191784,  29.250,  14.394,   0.398,  1.0000,  0.9995,  14.390,  14.386,   1.000000,   1.000000, 0,
6,  2022-09-14T18:13:04, 1663193584,  29.625,  14.386,   0.263,  1.0000,  0.9995,  14.382,  14.377,   1.000000,   1.000000, 0,
7,  2022-09-14T18:43:04, 1663195384,  29.875,  14.317,   0.197,  1.0000,  0.9990,  14.314,  14.310,   1.000000,   1.000000, 0,
8,  2022-09-14T19:13:04, 1663197184,  29.743,  14.162,  -0.002,  0.9999,  0.9981,  14.162,  14.158,   1.000000,   1.000000, 0,
9,  2022-09-14T19:43:04, 1663198984,  29.057,  13.938,  -0.002,  0.9999,  0.9968,  13.938,  13.935,   1.000000,   1.000000, 0,
10,  2022-09-14T20:13:04, 1663200784,  28.243,  13.792,  -0.068,  0.9999,  0.9958,  13.793,  13.790,   1.000000,   1.000000, 0,
11,  2022-09-14T20:43:04, 1663202584,  27.493,  13.658,  -0.002,  0.9999,  0.9949,  13.658,  13.658,   1.000000,   1.000000, 0,
12,  2022-09-14T21:13:04, 1663204384,  26.743,  13.589,  -0.068,  0.9999,  0.9941,  13.590,  13.590,   1.000000,   1.000000, 0,
13,  2022-09-14T21:43:04, 1663206184,  26.057,  13.516,  -0.068,  0.9999,  0.9934,  13.517,  13.517,   1.000000,   1.000000, 0,
14,  2022-09-14T22:13:04, 1663207984,  25.432,  13.460,  -0.068,  0.9999,  0.9926,  13.461,  13.461,   1.000000,   1.000000, 0,
15,  2022-09-14T22:43:05, 1663209785,  24.868,  13.408,  -0.068,  0.9999,  0.9921,  13.409,  13.410,   1.000000,   1.000000, 0,
16,  2022-09-14T23:13:05, 1663211585,  24.307,  13.383,  -0.068,  0.9999,  0.9916,  13.383,  13.384,   1.000000,   1.000000, 0,
17,  2022-09-14T23:43:05, 1663213385,  23.743,  13.331,  -0.068,  0.9999,  0.9913,  13.332,  13.332,   1.000000,   1.000000, 0,
18,  2022-09-15T00:13:05, 1663215185,  23.307,  13.318,  -0.068,  0.9999,  0.9909,  13.319,  13.320,   1.000000,   1.000000, 0,
19,  2022-09-15T00:43:05, 1663216985,  22.807,  13.267,  -0.068,  0.9999,  0.9908,  13.268,  13.268,   1.000000,   1.000000, 0,
20,  2022-09-15T01:13:05, 1663218785,  22.432,  13.253,  -0.068,  0.9999,  0.9904,  13.254,  13.255,   1.000000,   1.000000, 0,
21,  2022-09-15T01:43:05, 1663220585,  22.057,  13.262,  -0.068,  0.9999,  0.9903,  13.263,  13.264,   1.000000,   1.000000, 0,
22,  2022-09-15T02:13:05, 1663222385,  21.682,  13.223,  -0.068,  0.9999,  0.9902,  13.224,  13.225,   1.000000,   1.000000, 0,
23,  2022-09-15T02:43:05, 1663224185,  21.368,  13.215,  -0.068,  0.9999,  0.9901,  13.216,  13.217,   1.000000,   1.000000, 0,
24,  2022-09-15T03:13:05, 1663225985,  21.118,  13.232,  -0.068,  0.9999,  0.9900,  13.232,  13.234,   1.000000,   1.000000, 0,
25,  2022-09-15T03:43:06, 1663227786,  20.932,  13.215,  -0.068,  0.9999,  0.9900,  13.216,  13.217,   1.000000,   1.000000, 0,
26,  2022-09-15T04:13:06, 1663229586,  20.743,  13.219,  -0.068,  0.9999,  0.9900,  13.220,  13.221,   1.000000,   1.000000, 0,
27,  2022-09-15T04:43:06, 1663231386,  20.618,  13.223,  -0.068,  0.9999,  0.9899,  13.224,  13.225,   1.000000,   1.000000, 0,
28,  2022-09-15T05:13:06, 1663233186,  20.432,  13.210,  -0.068,  0.9999,  0.9899,  13.212,  13.213,   1.000000,   1.000000, 0,
29,  2022-09-15T05:43:06, 1663234986,  20.182,  13.219,  -0.068,  0.9999,  0.9898,  13.220,  13.221,   1.000000,   1.000000, 0,
30,  2022-09-15T06:13:06, 1663236786,  19.868,  13.206,  -0.068,  0.9999,  0.9900,  13.207,  13.208,   1.000000,   1.000000, 0,
31,  2022-09-15T06:43:06, 1663238586,  19.557,  13.219,  -0.068,  0.9999,  0.9899,  13.220,  13.221,   1.000000,   1.000000, 0,
32,  2022-09-15T07:13:06, 1663240386,  19.118,  13.206,  -0.002,  0.9999,  0.9900,  13.206,  13.207,   1.000000,   1.000000, 0,
33,  2022-09-15T07:43:06, 1663242186,  18.682,  13.293,   1.737,  1.0000,  0.9905,  13.272,  13.271,   1.000000,   1.000000, 0,
34,  2022-09-15T08:13:06, 1663243986,  18.432,  13.503,   3.543,  1.0000,  0.9928,  13.461,  13.448,   1.000000,   1.000000, 0,
35,  2022-09-15T08:43:06, 1663245786,  18.307,  14.399,   0.330,  1.0000,  0.9996,  14.395,  14.379,   1.000000,   1.000000, 0,
36,  2022-09-15T09:13:07, 1663247587,  18.812,  14.390,   0.197,  1.0000,  0.9996,  14.387,  14.375,   1.000000,   1.000000, 0,
37,  2022-09-15T09:43:07, 1663249387,  19.562,  14.399,   0.330,  1.0000,  0.9995,  14.395,  14.385,   1.000000,   1.000000, 0,
38,  2022-09-15T10:13:07, 1663251187,  20.187,  14.390,   0.197,  1.0000,  0.9996,  14.387,  14.378,   1.000000,   1.000000, 0,
39,  2022-09-15T10:43:07, 1663252987,  22.250,  14.322,   0.263,  1.0000,  0.9989,  14.318,  14.310,   1.000000,   1.000000, 0,
40,  2022-09-15T11:13:07, 1663254787,  26.375,  14.317,   0.465,  1.0000,  0.9988,  14.312,  14.305,   1.000000,   1.000000, 0,
41,  2022-09-15T11:43:07, 1663256587,  29.562,  14.342,   0.330,  1.0000,  0.9993,  14.339,  14.332,   1.000000,   1.000000, 0,
42,  2022-09-15T12:13:07, 1663258387,  29.682,  14.390,   0.465,  1.0000,  0.9994,  14.386,  14.380,   1.000000,   1.000000, 0,
43,  2022-09-15T12:43:07, 1663260187,  28.807,  14.028,  -0.002,  0.9999,  0.9972,  14.028,  14.024,   1.000000,   1.000000, 0,
44,  2022-09-15T13:13:07, 1663261987,  27.932,  14.252,  -0.002,  0.9999,  0.9987,  14.252,  14.248,   1.000000,   1.000000, 0,
45,  2022-09-15T13:43:07, 1663263787,  27.493,  14.390,   0.398,  1.0000,  0.9995,  14.384,  14.380,   1.000000,   1.000000, 0,
46,  2022-09-15T14:13:07, 1663265587,  27.182,  14.386,   0.330,  1.0000,  0.9995,  14.382,  14.377,   1.000000,   1.000000, 0,
47,  2022-09-15T14:43:08, 1663267388,  27.182,  14.373,   0.263,  1.0000,  0.9995,  14.369,  14.365,   1.000000,   1.000000, 0,
48,  2022-09-15T15:13:08, 1663269188,  27.057,  14.390,   0.398,  1.0000,  0.9995,  14.386,  14.382,   1.000000,   1.000000, 0,
49,  2022-09-15T15:43:08, 1663270988,  26.868,  14.382,   0.263,  1.0000,  0.9995,  14.378,  14.373,   1.000000,   1.000000, 0,
50,  2022-09-15T16:13:08, 1663272788,  26.618,  14.399,   0.263,  1.0000,  0.9995,  14.395,  14.391,   1.000000,   1.000000, 0,
51,  2022-09-15T16:43:08, 1663274588,  26.368,  13.818,  -3.080,  0.9992,  0.9961,  13.851,  13.848,   1.000000,   1.000000, 0,
52,  2022-09-15T17:13:08, 1663276388,  27.937,  13.158,  -2.747,  0.9716,  0.9771,  13.193,  13.203,   1.000000,   1.000000, 0,
53,  2022-09-15T17:43:08, 1663278188,  29.375,  13.236,   0.130,  0.9543,  0.9589,  13.234,  13.244,   1.000000,   1.000000, 0,
54,  2022-09-15T18:13:08, 1663279988,  28.868,  13.236,   0.063,  0.9596,  0.9791,  13.236,  13.242,   1.000000,   1.000000, 0,
55,  2022-09-15T18:43:08, 1663281788,  27.557,  13.232,  -0.068,  0.9722,  0.9901,  13.232,  13.238,   1.000000,   1.000000, 0,
56,  2022-09-15T19:13:08, 1663283588,  26.625,  13.146,  -3.080,  0.9748,  0.9834,  13.184,  13.194,   1.000000,   1.000000, 0,
57,  2022-09-15T19:43:09, 1663285389,  28.250,  13.163,  -3.013,  0.9454,  0.9463,  13.201,  13.221,   1.000000,   1.000000, 0,
58,  2022-09-15T20:13:09, 1663287189,  29.312,  13.210,  -0.137,  0.9329,  0.9460,  13.212,  13.229,   1.000000,   1.000000, 0,
59,  2022-09-15T20:43:09, 1663288989,  28.118,  13.223,  -0.137,  0.9431,  0.9804,  13.225,  13.238,   1.000000,   1.000000, 0,
60,  2022-09-15T21:13:09, 1663290789,  26.493,  13.163,  -3.215,  0.9566,  0.9900,  13.201,  13.213,   1.000000,   1.000000, 0,
61,  2022-09-15T21:43:09, 1663292589,  27.062,  13.146,  -3.080,  0.9375,  0.9644,  13.183,  13.206,   1.000000,   1.000000, 0,
62,  2022-09-15T22:13:09, 1663294389,  28.875,  13.197,  -0.137,  0.9113,  0.9384,  13.199,  13.224,   1.000000,   1.000000, 0,
63,  2022-09-15T22:43:09, 1663296189,  28.432,  13.227,  -0.137,  0.9147,  0.9619,  13.229,  13.248,   1.000000,   1.000000, 0,
64,  2022-09-15T23:13:09, 1663297989,  26.618,  13.223,  -0.137,  0.9306,  0.9902,  13.225,  13.239,   1.000000,   1.000000, 0,
65,  2022-09-15T23:43:09, 1663299789,  26.500,  13.137,  -3.080,  0.9181,  0.9701,  13.175,  13.199,   1.000000,   1.000000, 0,
66,  2022-09-16T00:13:09, 1663301589,  28.437,  13.193,  -0.137,  0.8877,  0.9320,  13.203,  13.232,   1.000000,   1.000000, 0,
67,  2022-09-16T00:43:10, 1663303390,  28.493,  13.189,  -0.137,  0.8859,  0.9472,  13.191,  13.214,   1.000000,   1.000000, 0,
68,  2022-09-16T01:13:10, 1663305190,  26.682,  13.210,  -0.137,  0.9016,  0.9865,  13.212,  13.230,   1.000000,   1.000000, 0,
69,  2022-09-16T01:43:10, 1663306990,  26.187,  13.137,  -3.080,  0.8936,  0.9619,  13.175,  13.201,   1.000000,   1.000000, 0,
70,  2022-09-16T02:13:10, 1663308790,  27.875,  13.137,  -3.080,  0.8646,  0.9184,  13.175,  13.207,   1.000000,   1.000000, 0,
71,  2022-09-16T02:43:10, 1663310590,  28.557,  13.206,  -0.137,  0.8556,  0.9289,  13.207,  13.234,   1.000000,   1.000000, 0,
72,  2022-09-16T03:13:10, 1663312390,  26.868,  13.219,  -0.137,  0.8695,  0.9681,  13.221,  13.241,   1.000000,   1.000000, 0,
73,  2022-09-16T03:43:10, 1663314190,  26.000,  13.116,  -3.080,  0.8659,  0.9426,  13.153,  13.180,   1.000000,   1.000000, 0,
74,  2022-09-16T04:13:10, 1663315990,  27.562,  13.146,  -3.080,  0.8389,  0.8884,  13.183,  13.217,   1.000000,   1.000000, 0,
75,  2022-09-16T04:43:10, 1663317790,  28.625,  13.176,  -0.137,  0.8249,  0.8931,  13.178,  13.207,   1.000000,   1.000000, 0,
76,  2022-09-16T05:13:10, 1663319590,  27.118,  13.215,  -0.137,  0.8365,  0.9313,  13.217,  13.238,   1.000000,   1.000000, 0,
77,  2022-09-16T05:43:10, 1663321390,  25.932,  13.098,  -3.080,  0.8371,  0.9211,  13.137,  13.162,   1.000000,   1.000000, 0,
78,  2022-09-16T06:13:11, 1663323191,  27.125,  13.142,  -3.080,  0.8134,  0.8645,  13.179,  13.213,   1.000000,   1.000000, 0,
79,  2022-09-16T06:43:11, 1663324991,  28.562,  13.168,  -0.137,  0.7941,  0.8554,  13.169,  13.200,   1.000000,   1.000000, 0,
80,  2022-09-16T07:13:11, 1663326791,  27.432,  13.215,  -0.068,  0.8026,  0.9018,  13.216,  13.239,   1.000000,   1.000000, 0,
81,  2022-09-16T07:43:11, 1663328591,  25.932,  13.133,  -2.010,  0.8091,  0.9148,  13.156,  13.179,   1.000000,   1.000000, 0,
82,  2022-09-16T08:13:11, 1663330391,  27.000,  13.202,   0.197,  0.7967,  0.8883,  13.200,  13.221,   1.000000,   1.000000, 0,
83,  2022-09-16T08:43:11, 1663332191,  28.687,  13.335,   6.287,  0.7969,  0.9298,  13.256,  13.258,   1.000000,   1.000000, 0,
84,  2022-09-16T09:13:11, 1663333991,  28.307,  13.318,   2.405,  0.8193,  0.9905,  13.285,  13.267,   1.000000,   1.000000, 0,
85,  2022-09-16T09:43:11, 1663335791,  27.057,  13.339,   4.480,  0.8454,  0.9905,  13.276,  13.248,   1.000000,   1.000000, 0,
86,  2022-09-16T10:13:11, 1663337591,  27.750,  13.667,  27.235,  0.9636,  0.9864,  13.291,  13.147,   1.000000,   1.000000, 0,
87,  2022-09-16T10:43:11, 1663339391,  30.250,  13.120,  -8.770,  0.9241,  0.9486,  13.229,  13.248,   1.000000,   1.000000, 0,
88,  2022-09-16T11:13:12, 1663341192,  30.182,  13.124,  -7.230,  0.8911,  0.9272,  13.213,  13.249,   1.000000,   1.000000, 0,
89,  2022-09-16T11:43:12, 1663342992,  29.618,  13.124,  -6.695,  0.8643,  0.9119,  13.207,  13.259,   1.000000,   1.000000, 0,
90,  2022-09-16T12:13:12, 1663344792,  29.118,  13.120,  -6.762,  0.8374,  0.9001,  13.204,  13.268,   1.000000,   1.000000, 0,
