unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min, Tbl,
g20230530_soc0p_ch, 2023-08-06T00:23:53,  87452525.078, 0.101,   1,  405720, 0,  1,  0,  0, 25.750,13.353,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.35049,13.34375,   0.002429, 0.90478,0.98193,0.90478,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:23:58,  87452530.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.344,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.34189,13.34298,  -0.001089, 0.90478,0.98187,0.90478,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:03,  87452535.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.336,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.33329,13.34329,  -0.001390, 0.90478,0.98189,0.90478,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:08,  87452540.079, 0.099,   1,  405720, 0,  1,  0,  0, 25.750,13.348,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.34622,13.34372,  -0.006114, 0.90478,0.98190,0.90478,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:13,  87452545.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.348,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.34623,13.34330,  -0.001376, 0.90477,0.98189,0.90478,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:18,  87452550.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.344,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.34194,13.34329,  -0.001350, 0.90477,0.98189,0.90478,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:23,  87452555.078, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.344,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.34195,13.34358,   0.006982, 0.90477,0.98193,0.90478,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:28,  87452560.078, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.336,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.33335,13.34392,   0.006651, 0.90477,0.98195,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:33,  87452565.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.340,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.33767,13.34436,   0.006225, 0.90477,0.98197,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:38,  87452570.079, 0.099,   1,  405720, 0,  1,  0,  0, 25.750,13.353,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.35060,13.34484,   0.005759, 0.90477,0.98200,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:43,  87452575.079, 0.099,   1,  405720, 0,  1,  0,  0, 25.750,13.353,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.35061,13.34472,   0.001580, 0.90477,0.98198,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:48,  87452580.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.344,    -0.101,    -0.101,     0.012,13.29966,    13.80300,-0.00199,13.34201,13.34425,   0.006372, 0.90477,0.98197,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:53,  87452585.078, 0.101,   1,  405720, 0,  1,  0,  0, 25.750,13.336,    -0.101,    -0.101,     0.011,13.29966,    13.80300,-0.00199,13.33341,13.34466,   0.001667, 0.90476,0.98197,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:24:58,  87452590.078, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.340,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.33773,13.34467,  -0.002637, 0.90476,0.98196,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:03,  87452595.078, 0.101,   1,  405720, 0,  1,  0,  0, 25.750,13.348,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.34635,13.34461,  -0.002563, 0.90476,0.98196,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:08,  87452600.078, 0.101,   1,  405720, 0,  1,  0,  0, 25.750,13.344,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.34206,13.34483,   0.005836, 0.90476,0.98200,0.90477,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:13,  87452605.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.348,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.34638,13.34543,   0.000947, 0.90476,0.98202,0.90476,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:18,  87452610.078, 0.101,   1,  405720, 0,  1,  0,  0, 25.750,13.344,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.34208,13.34486,   0.005830, 0.90476,0.98200,0.90476,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:23,  87452615.078, 0.101,   1,  405720, 0,  1,  0,  0, 25.750,13.336,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.33348,13.34499,   0.005715, 0.90476,0.98201,0.90476,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:28,  87452620.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.344,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.34211,13.34585,   0.000564, 0.90476,0.98204,0.90476,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:33,  87452625.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.357,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.35503,13.34612,   0.000299, 0.90475,0.98205,0.90476,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:38,  87452630.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.353,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.35074,13.34591,  -0.003783, 0.90475,0.98203,0.90476,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:43,  87452635.078, 0.101,   1,  405720, 0,  1,  0,  0, 25.750,13.336,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.33353,13.34596,   0.004793, 0.90475,0.98206,0.90476,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:48,  87452640.079, 0.100,   1,  405720, 0,  1,  0,  0, 25.750,13.340,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.33785,13.34621,  -0.012671, 0.90475,0.98202,0.90476,0.01400,25.750,
g20230530_soc0p_ch, 2023-08-06T00:25:53,  87452645.078, 0.101,   1,  405720, 0,  1,  0,  0, 25.750,13.348,    -0.101,    -0.101,     0.011,13.29965,    13.80300,-0.00199,13.34647,13.34531,   0.001154, 0.90475,0.98201,0.90475,0.01400,25.750,
