unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min, Tbl,
g20230530_soc0p_ch, 2023-08-07T01:02:18,  87541225.909, 0.100,   1,  405720, 0,  1,  0,  0, 25.433,13.267,    -0.935,    -0.935,    -0.087,13.79496,    13.80173,-0.01856,13.31991,13.31674,   0.000325, 0.99254,0.98038,0.99254,0.01400,25.433,
g20230530_soc0p_ch, 2023-08-07T01:02:23,  87541230.908, 0.101,   1,  405720, 0,  1,  0,  0, 25.432,13.262,    -0.901,    -0.901,    -0.087,13.79357,    13.80173,-0.01805,13.31510,13.31686,  -0.006057, 0.99253,0.98038,0.99253,0.01400,25.432,
g20230530_soc0p_ch, 2023-08-07T01:02:28,  87541235.909, 0.099,   1,  405720, 0,  1,  0,  0, 25.432,13.275,    -1.074,    -1.074,    -0.087,13.79213,    13.80173,-0.02046,13.33043,13.31648,  -0.005683, 0.99252,0.98036,0.99252,0.01400,25.432,
g20230530_soc0p_ch, 2023-08-07T01:02:33,  87541240.908, 0.101,   1,  405720, 0,  1,  0,  0, 25.432,13.262,    -1.074,    -1.074,    -0.087,13.79070,    13.80173,-0.02046,13.31751,13.31588,   0.001616, 0.99251,0.98034,0.99251,0.01400,25.432,
g20230530_soc0p_ch, 2023-08-07T01:02:38,  87541245.909, 0.100,   1,  405720, 0,  1,  0,  0, 25.432,13.262,    -0.901,    -0.901,    -0.087,13.78928,    13.80173,-0.01804,13.31510,13.31585,   0.018378, 0.99250,0.98036,0.99250,0.01400,25.432,
g20230530_soc0p_ch, 2023-08-07T01:02:43,  87541250.908, 0.101,   1,  405720, 0,  1,  0,  0, 25.432,13.267,    -0.935,    -0.935,    -0.087,13.78789,    13.80173,-0.01850,13.31987,13.31623,  -0.001619, 0.99249,0.98035,0.99249,0.01400,25.432,
g20230530_soc0p_ch, 2023-08-07T01:02:48,  87541255.909, 0.100,   1,  405720, 0,  1,  0,  0, 25.432,13.271,    -0.935,    -0.935,    -0.087,13.78649,    13.80173,-0.01848,13.32416,13.31583,   0.011686, 0.99248,0.98035,0.99248,0.01400,25.432,
Summ...
g20230530_soc0p_ch, 2023-08-07T01:02:53,  87541260.909, 0.099,   1,  405720, 0,  1,  0,  0, 25.432,13.267,    -1.074,    -1.074,    -0.087,13.78506,    13.80173,-0.02041,13.32178,13.31605,   0.003341, 0.99246,0.98035,0.99246,0.01400,25.432,
g20230530_soc0p_ch, 2023-08-07T01:02:58,  87541265.908, 0.101,   1,  405720, 0,  1,  0,  0, 25.432,13.271,    -1.074,    -1.074,    -0.087,13.78358,    13.80173,-0.02045,13.32614,13.31577,   0.004579, 0.99245,0.98034,0.99245,0.01400,25.432,
