unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min, dv,
g20230530_soc0p_ch, 2023-08-10:17:43:14,       0.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:43:39,      25.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:44:04,      50.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:44:29,      75.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:44:54,     100.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:45:19,     125.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:45:44,     150.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:46:09,     175.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:46:34,     200.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:46:59,     225.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:47:24,     250.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
