fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_min, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-03-19T22:17:59, 1679264279,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0000,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 2023-03-19T22:18:09, 1679264289,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0000,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 2023-03-19T22:18:18, 1679264298,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0000,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 2023-03-19T22:18:28, 1679264308,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0000,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 2023-03-19T22:18:37, 1679264317,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0000,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 2023-03-19T22:18:47, 1679264327,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0000,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 2023-03-19T22:18:56, 1679264336,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0000,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 2023-03-19T22:23:34, 1679264614,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5046,  0.0250,  0.5016,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:23:44, 1679264624,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5048,  0.0250,  0.5015,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:23:53, 1679264633,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5049,  0.0250,  0.5014,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:24:03, 1679264643,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5051,  0.0250,  0.5013,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:24:12, 1679264652,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5052,  0.0250,  0.5012,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:24:13, 1679264653,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   0.000,  0.5052,  0.0250,  0.5012,  13.006,  12.954,   0.128, 384, 272,
unit_f, 2023-03-19T22:24:23, 1679264663,   0.000,  13.082,   0.000,   0.000,  25.000,  13.082,   0.000,  0.5052,  0.0250,  0.5052,  13.082,  13.082,   0.004, 384, 256,
unit_f, 2023-03-19T22:23:34, 1679264614,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5046,  0.0250,  0.5016,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:23:44, 1679264624,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5048,  0.0250,  0.5015,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:23:53, 1679264633,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5049,  0.0250,  0.5014,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:24:03, 1679264643,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5051,  0.0250,  0.5013,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:24:12, 1679264652,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5052,  0.0250,  0.5012,  13.006,  12.954,   0.128, 384, 256,
unit_f, 2023-03-19T22:24:13, 1679264653,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   0.000,  0.5052,  0.0250,  0.5012,  13.006,  12.954,   0.128, 384, 272,
unit_f, 2023-03-19T22:24:23, 1679264663,   0.000,  13.082,   0.000,   0.000,  25.000,  13.082,   0.000,  0.5052,  0.0250,  0.5052,  13.082,  13.082,   0.004, 384, 256,
