fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_min, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-06-12T09:47:24, 1686563244,   0.000,  13.251,   0.000,   0.000,  25.000,  13.251, -54.227,  0.5008,  0.0140,  0.5011,  12.401,  12.393,   0.570, 256, 0,
unit_f, 2023-06-12T09:47:34, 1686563254,   0.000,  13.252,   0.000,   0.000,  25.000,  13.252, -54.227,  0.5022,  0.0140,  0.5028,  12.325,  12.307,   0.801, 416, 256,
unit_f, 2023-06-12T09:47:34, 1686563254,   0.000,  13.252,   0.000,   0.000,  25.000,  13.252,   5.000,  0.5022,  0.0140,  0.5028,  12.322,  12.304,   0.806, 416, 288,
unit_f, 2023-06-12T09:47:45, 1686563265,   0.000,  13.252,   0.000,   0.000,  25.000,  13.252,   5.000,  0.5024,  0.0140,  0.5025,  13.154,  13.152,   0.012, 384, 256,
unit_f, 2023-06-12T09:47:24, 1686563244,   0.000,  13.251,   0.000,   0.000,  25.000,  13.251, -54.227,  0.5008,  0.0140,  0.5011,  12.401,  12.393,   0.570, 256, 0,
unit_f, 2023-06-12T09:47:34, 1686563254,   0.000,  13.252,   0.000,   0.000,  25.000,  13.252, -54.227,  0.5022,  0.0140,  0.5028,  12.325,  12.307,   0.801, 416, 256,
unit_f, 2023-06-12T09:47:34, 1686563254,   0.000,  13.252,   0.000,   0.000,  25.000,  13.252,   5.000,  0.5022,  0.0140,  0.5028,  12.322,  12.304,   0.806, 416, 288,
unit_f, 2023-06-12T09:47:45, 1686563265,   0.000,  13.252,   0.000,   0.000,  25.000,  13.252,   5.000,  0.5024,  0.0140,  0.5025,  13.154,  13.152,   0.012, 384, 256,
unit_f, 2023-06-12T09:48:44, 1686563324,   0.000,  13.153,   0.000,   0.000,  25.000,  13.153,   0.000,  0.5030,  0.0140,  0.5030,  13.153,  13.153,   0.000, 0, 0,
unit_f, 2023-06-12T09:48:54, 1686563334,   0.000,  13.153,   0.000,   0.000,  25.000,  13.153,   0.000,  0.5030,  0.0140,  0.5030,  13.153,  13.153,   0.000, 0, 0,
