unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230612,2023-06-12T05:46:22,  0.000,  0.100,0,0,247, 25.000, 13.250,  5.000, -0.001, 13.152, 13.800,  0.098, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.100,  0.100,0,0,247, 25.000, 13.250,  5.000, -0.001, 13.152, 13.800,  0.098, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.204,  0.104,0,0,247, 25.000, 13.250,  5.000, -0.001, 13.152, 13.800,  0.098, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.303,  0.099,0,0,247, 25.000, 13.250,  5.000, -0.001, 13.152, 13.800,  0.098, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.404,  0.101,0,0,247, 25.000, 13.250,  5.000, -0.001, 13.152, 13.800,  0.098, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.503,  0.099,0,0,247, 25.000, 13.250,  5.000, -0.001, 13.152, 13.800,  0.098, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.604,  0.101,0,0,247, 25.000, 13.250,  5.000, -0.001, 13.152, 13.800,  0.098, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.703,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.804,  0.101,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  0.903,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:23,  1.004,  0.101,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.103,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.203,  0.100,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.304,  0.101,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.403,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.503,  0.100,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.603,  0.100,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.704,  0.101,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.803,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  1.904,  0.101,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:24,  2.004,  0.100,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.104,  0.100,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.203,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.303,  0.100,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.404,  0.101,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.503,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.604,  0.101,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.703,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.804,  0.101,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  2.904,  0.100,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:25,  3.004,  0.100,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:26,  3.103,  0.099,0,0,247, 25.000, 13.251,  5.000,  0.002, 13.152, 13.800,  0.098, 13.152, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:26,  3.203,  0.100,0,0,247, 25.000, 13.251, 55.000,  0.002, 13.152, 13.800,  0.789, 12.461, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:26,  3.304,  0.101,0,0,247, 25.000, 13.251, 55.000,  0.003, 13.152, 13.800,  0.790, 12.460, 13.152, -0.001,  0.500,  0.500,  0.500,
mon_rep230612,2023-06-12T05:46:26,  3.404,  0.100,0,0,247, 25.000, 13.251, 55.000,  0.003, 13.152, 13.800,  0.791, 12.458, 13.152, -0.001,  0.500,  0.500,  0.500,
