unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230810,2023-08-10T14:10:38,-56.410,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:38,-56.310,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:38,-56.210,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:38,-56.110,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:38,-56.010,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:38,-55.910,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:38,-55.810,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:39,-55.710,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:39,-55.610,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:39,-55.510,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
mon_rep230810,2023-08-10T14:10:39,-55.410,  0.100,0,0,247, 25.000, 13.081,  0.000,  0.036, 13.381, 13.800,  0.000, 13.080, 13.381, -0.300,  0.502,  0.502,  0.502,
