unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,ib_lag,
mon230827,2023-08-27T14:32:55,  0.000,  0.100,0,1,0, 23.625, 13.267, -0.623, -0.046, 13.310, 13.794, -0.013, 13.298, 13.293,  0.001,  0.977,  0.859,  0.977,-0.62300,
mon230827,2023-08-27T14:33:00,  5.003,  0.100,0,1,0, 23.625, 13.254, -0.657, -0.046, 13.310, 13.794, -0.013, 13.285, 13.293, -0.007,  0.977,  0.859,  0.977,-0.62347,
mon230827,2023-08-27T14:33:05, 10.006,  0.100,0,1,0, 23.625, 13.245, -0.727, -0.046, 13.310, 13.794, -0.014, 13.278, 13.293, -0.003,  0.977,  0.859,  0.977,-0.62535,
mon230827,2023-08-27T14:33:10, 15.006,  0.100,0,1,0, 23.625, 13.258, -0.657, -0.047, 13.310, 13.794, -0.013, 13.290, 13.293, -0.008,  0.977,  0.859,  0.977,-0.62717,
mon230827,2023-08-27T14:33:15, 20.009,  0.099,0,1,0, 23.625, 13.245, -0.623, -0.047, 13.310, 13.794, -0.012, 13.276, 13.293, -0.008,  0.977,  0.859,  0.977,-0.62752,
mon230827,2023-08-27T14:33:20, 25.012,  0.100,0,1,0, 23.625, 13.262, -0.588, -0.047, 13.310, 13.794, -0.012, 13.293, 13.293, -0.017,  0.977,  0.859,  0.977,-0.62692,
mon230827,2023-08-27T14:33:25, 30.014,  0.101,0,1,0, 23.625, 13.262, -0.657, -0.047, 13.310, 13.794, -0.013, 13.294, 13.293, -0.003,  0.977,  0.859,  0.977,-0.62680,
mon230827,2023-08-27T14:33:30, 35.018,  0.099,0,1,0, 23.625, 13.262, -0.692, -0.047, 13.310, 13.794, -0.013, 13.294, 13.293, -0.012,  0.977,  0.859,  0.977,-0.62811,
mon230827,2023-08-27T14:33:35, 40.021,  0.100,0,1,0, 23.625, 13.245, -0.692, -0.047, 13.310, 13.794, -0.013, 13.277, 13.293, -0.017,  0.977,  0.858,  0.977,-0.62986,
mon230827,2023-08-27T14:33:40, 45.021,  0.099,0,1,0, 23.625, 13.241, -0.623, -0.047, 13.310, 13.794, -0.012, 13.272, 13.293, -0.008,  0.977,  0.858,  0.977,-0.63061,
