unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,ib_lag,
mon230821,2023-08-21T15:19:25,  0.000,  0.100,0,1,0, 25.307, 13.249, -0.935, -0.094, 13.318, 13.801, -0.019, 13.305, 13.309,  0.012,  0.980,  0.974,  0.980,-0.93500,
mon230821,2023-08-21T15:19:30,  4.999,  0.100,0,1,0, 25.307, 13.258, -0.935, -0.094, 13.317, 13.801, -0.019, 13.314, 13.309,  0.000,  0.980,  0.974,  0.980,-0.93500,
mon230821,2023-08-21T15:19:35,  9.999,  0.100,0,1,0, 25.307, 13.262, -0.935, -0.094, 13.317, 13.801, -0.019, 13.318, 13.309, -0.002,  0.980,  0.974,  0.980,-0.93500,
mon230821,2023-08-21T15:19:40, 14.999,  0.100,0,1,0, 25.307, 13.254, -0.935, -0.094, 13.317, 13.801, -0.019, 13.310, 13.309,  0.009,  0.980,  0.974,  0.980,-0.93500,
mon230821,2023-08-21T15:19:45, 20.000,  0.099,0,1,0, 25.307, 13.258, -0.970, -0.094, 13.317, 13.801, -0.019, 13.315, 13.309,  0.001,  0.980,  0.974,  0.980,-0.93548,
mon230821,2023-08-21T15:19:50, 25.000,  0.099,0,1,0, 25.307, 13.245, -1.005, -0.094, 13.317, 13.801, -0.020, 13.302, 13.309, -0.004,  0.980,  0.974,  0.980,-0.93691,
mon230821,2023-08-21T15:19:55, 30.000,  0.100,0,1,0, 25.307, 13.254, -1.109, -0.094, 13.316, 13.801, -0.021, 13.312, 13.309,  0.014,  0.980,  0.974,  0.980,-0.94021,
mon230821,2023-08-21T15:20:00, 35.000,  0.100,0,1,0, 25.307, 13.267, -0.935, -0.094, 13.316, 13.801, -0.019, 13.323, 13.309,  0.009,  0.980,  0.974,  0.980,-0.94244,
mon230821,2023-08-21T15:20:05, 40.000,  0.100,0,1,0, 25.307, 13.258, -0.935, -0.094, 13.316, 13.801, -0.019, 13.314, 13.309,  0.001,  0.980,  0.974,  0.980,-0.94223,
mon230821,2023-08-21T15:20:10, 45.000,  0.100,0,1,0, 25.307, 13.258, -1.144, -0.094, 13.316, 13.801, -0.022, 13.317, 13.309, -0.001,  0.980,  0.975,  0.980,-0.94491,
mon230821,2023-08-21T15:20:15, 49.999,  0.101,0,1,0, 25.307, 13.254, -0.970, -0.094, 13.316, 13.801, -0.019, 13.310, 13.309,  0.004,  0.980,  0.975,  0.980,-0.94797,
mon230821,2023-08-21T15:20:20, 54.999,  0.100,0,1,0, 25.307, 13.254, -0.866, -0.094, 13.315, 13.801, -0.018, 13.309, 13.309, -0.009,  0.980,  0.974,  0.980,-0.94714,
mon230821,2023-08-21T15:20:25, 59.999,  0.100,0,1,0, 25.307, 13.262, -0.935, -0.094, 13.315, 13.801, -0.019, 13.319, 13.309,  0.001,  0.980,  0.974,  0.980,-0.94587,
mon230821,2023-08-21T15:20:30, 64.999,  0.100,0,1,0, 25.307, 13.262, -1.144, -0.094, 13.315, 13.801, -0.022, 13.321, 13.309,  0.011,  0.980,  0.975,  0.980,-0.94845,
mon230821,2023-08-21T15:20:35, 69.999,  0.100,0,1,0, 25.307, 13.254, -0.866, -0.094, 13.315, 13.801, -0.018, 13.309, 13.309, -0.007,  0.980,  0.975,  0.980,-0.94998,
mon230821,2023-08-21T15:20:40, 74.999,  0.100,0,1,0, 25.307, 13.258, -0.970, -0.094, 13.314, 13.801, -0.019, 13.315, 13.309, -0.004,  0.980,  0.974,  0.980,-0.94911,
mon230821,2023-08-21T15:20:45, 79.999,  0.100,0,1,0, 25.307, 13.249, -0.935, -0.094, 13.314, 13.801, -0.019, 13.306, 13.309,  0.012,  0.980,  0.975,  0.980,-0.94920,
mon230821,2023-08-21T15:20:50, 84.999,  0.100,0,1,0, 25.307, 13.254, -0.866, -0.094, 13.314, 13.801, -0.018, 13.309, 13.309,  0.004,  0.980,  0.975,  0.980,-0.94786,
mon230821,2023-08-21T15:20:55, 89.999,  0.100,0,1,0, 25.307, 13.258, -0.970, -0.094, 13.314, 13.801, -0.019, 13.315, 13.309, -0.005,  0.980,  0.975,  0.980,-0.94705,
mon230821,2023-08-21T15:21:00, 94.999,  0.101,0,1,0, 25.307, 13.267, -0.970, -0.094, 13.314, 13.801, -0.019, 13.323, 13.309,  0.006,  0.980,  0.975,  0.980,-0.94768,
mon230821,2023-08-21T15:21:05, 99.999,  0.100,0,1,0, 25.307, 13.249, -1.005, -0.094, 13.313, 13.801, -0.020, 13.307, 13.309,  0.006,  0.980,  0.975,  0.980,-0.94877,
mon230821,2023-08-21T15:21:10,105.000,  0.100,0,1,0, 25.307, 13.254, -1.179, -0.094, 13.313, 13.801, -0.022, 13.313, 13.309,  0.006,  0.980,  0.975,  0.980,-0.95271,
mon230821,2023-08-21T15:21:15,109.999,  0.101,0,1,0, 25.307, 13.245, -1.214, -0.094, 13.313, 13.801, -0.023, 13.305, 13.309,  0.010,  0.980,  0.975,  0.980,-0.95939,
mon230821,2023-08-21T15:21:20,114.999,  0.100,0,1,0, 25.307, 13.267, -0.970, -0.094, 13.313, 13.801, -0.019, 13.324, 13.309,  0.010,  0.980,  0.975,  0.980,-0.96300,
mon230821,2023-08-21T15:21:25,120.000,  0.100,0,1,0, 25.307, 13.254, -1.005, -0.094, 13.312, 13.801, -0.020, 13.311, 13.309,  0.000,  0.980,  0.975,  0.980,-0.96368,
mon230821,2023-08-21T15:21:30,124.999,  0.100,0,1,0, 25.307, 13.254, -1.179, -0.094, 13.312, 13.801, -0.022, 13.314, 13.309, -0.002,  0.980,  0.975,  0.980,-0.96720,
mon230821,2023-08-21T15:21:35,129.999,  0.100,0,1,0, 25.307, 13.258, -0.901, -0.094, 13.312, 13.801, -0.018, 13.314, 13.309,  0.011,  0.980,  0.975,  0.980,-0.96918,
mon230821,2023-08-21T15:21:40,134.999,  0.100,0,1,0, 25.307, 13.249, -0.970, -0.094, 13.312, 13.801, -0.019, 13.306, 13.309, -0.000,  0.980,  0.975,  0.980,-0.96826,
mon230821,2023-08-21T15:21:45,139.999,  0.101,0,1,0, 25.307, 13.258, -1.005, -0.094, 13.312, 13.801, -0.020, 13.316, 13.309,  0.000,  0.980,  0.975,  0.980,-0.96879,
mon230821,2023-08-21T15:21:50,144.999,  0.100,0,1,0, 25.307, 13.258, -1.005, -0.094, 13.311, 13.801, -0.020, 13.316, 13.309,  0.010,  0.980,  0.975,  0.980,-0.96978,
mon230821,2023-08-21T15:21:55,150.000,  0.100,0,1,0, 25.307, 13.254, -1.005, -0.094, 13.311, 13.801, -0.020, 13.311, 13.309, -0.007,  0.980,  0.975,  0.980,-0.97075,
mon230821,2023-08-21T15:22:00,155.000,  0.100,0,1,0, 25.307, 13.245, -1.179, -0.094, 13.311, 13.801, -0.022, 13.305, 13.309, -0.006,  0.980,  0.975,  0.980,-0.97408,
mon230821,2023-08-21T15:22:05,159.999,  0.101,0,1,0, 25.307, 13.249, -1.005, -0.094, 13.311, 13.801, -0.020, 13.307, 13.309,  0.004,  0.980,  0.975,  0.980,-0.97730,
mon230821,2023-08-21T15:22:10,164.999,  0.101,0,1,0, 25.307, 13.254, -1.109, -0.094, 13.310, 13.801, -0.021, 13.313, 13.309,  0.006,  0.980,  0.975,  0.980,-0.97949,
