unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,ib_lag,voc_soc_new,
mon_rep231013,2023-10-13T12:53:06,  0.000,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:07,  0.400,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:07,  0.810,  0.410,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:08,  1.200,  0.390,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:08,  1.600,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:08,  2.000,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:09,  2.400,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:09,  2.800,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:10,  3.200,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:10,  3.600,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:10,  4.000,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:11,  4.400,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:11,  4.800,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:12,  5.200,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:12,  5.600,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:12,  6.000,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:13,  6.400,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:13,  6.800,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:14,  7.200,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:14,  7.600,  0.400,0,0,247, 25.000, 13.380,  0.000,  0.000, 13.380, 13.800,  0.000, 13.380, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:14,  8.000,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:15,  8.400,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:15,  8.800,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.000,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:16,  9.200,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:16,  9.600,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:16, 10.000,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:17, 10.400,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:17, 10.800,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:18, 11.200,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:18, 11.600,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:18, 12.000,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:19, 12.400,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:19, 12.800,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:20, 13.200,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:20, 13.600,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:20, 14.000,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:21, 14.400,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:21, 14.800,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:22, 15.200,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:22, 15.600,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:22, 16.000,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:23, 16.400,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:23, 16.800,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:24, 17.200,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:24, 17.600,  0.400,0,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
mon_rep231013,2023-10-13T12:53:24, 18.000,  0.400,1,0,247, 25.000, 14.180,  0.000,  0.000, 13.380, 13.800,  0.000, 14.180, 13.380,  0.800,  0.500,  0.500,  0.500,0.00000,  0.000,
