unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230618,2023-06-18T05:09:55, -4.202,  0.101,0,0,247, 25.000,  9.985,  0.002, -0.001,  9.967, 13.800,  0.000,  9.986,  9.968,  0.018,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:55, -4.101,  0.101,0,0,247, 25.000,  9.954, -0.048,  0.000,  9.967, 13.800, -0.001,  9.955,  9.966, -0.012,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:55, -3.999,  0.102,0,0,247, 25.000,  9.992, -0.045,  0.000,  9.967, 13.800, -0.001,  9.992,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:55, -3.898,  0.101,0,0,247, 25.000,  9.966, -0.040,  0.000,  9.967, 13.800, -0.001,  9.967,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -3.798,  0.100,0,0,247, 25.000, 10.017, -0.031,  0.000,  9.967, 13.800, -0.001, 10.017,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -3.698,  0.100,0,0,247, 25.000, 10.016, -0.012,  0.000,  9.967, 13.800, -0.000, 10.016,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -3.599,  0.099,0,0,247, 25.000, 10.014,  0.028,  0.000,  9.967, 13.800,  0.000, 10.014,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -3.498,  0.101,0,0,247, 25.000, 10.011,  0.003,  0.000,  9.967, 13.800, -0.000, 10.011,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -3.399,  0.099,0,0,247, 25.000, 10.005, -0.046,  0.000,  9.967, 13.800, -0.001, 10.006,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -3.298,  0.101,0,0,247, 25.000,  9.992, -0.042,  0.000,  9.967, 13.800, -0.001,  9.993,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -3.198,  0.100,0,0,247, 25.000,  9.967, -0.034,  0.000,  9.967, 13.800, -0.001,  9.968,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -3.099,  0.099,0,0,247, 25.000,  9.918, -0.018,  0.000,  9.967, 13.800, -0.001,  9.918,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -2.998,  0.101,0,0,247, 25.000,  9.918,  0.015,  0.000,  9.967, 13.800, -0.000,  9.918,  9.966,  0.027,  0.014,  0.014,  0.014,
mon_rep230618,2023-06-18T05:09:56, -2.899,  0.099,0,0,247, 25.000,  9.920, -0.022,  0.000,  9.967, 13.800, -0.001,  9.920,  9.966,  0.027,  0.014,  0.014,  0.014,
