unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230617,2023-06-17T12:52:45,-10.703,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:45,-10.603,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:45,-10.500,  0.103,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:45,-10.400,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:45,-10.300,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:45,-10.200,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:46,-10.100,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:46,-10.000,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:46, -9.900,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
mon_rep230617,2023-06-17T12:52:46, -9.800,  0.100,0,0,247, 25.000, 13.729,  0.000,  0.001, 13.729, 13.800,  0.000, 13.729, 13.729, -0.000,  0.992,  0.992,  0.992,
