=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.02.18 05:49:47 =~=~=~=~=~=~=~=~=~=~=~=
vv1;
cmd: vv1
 Verbosity                    0 ->         0,        int (* vv)
 Verbosity                    0 ->         1,        int (* vv)

unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min,
g20240109_pro3p2_bb, 2000-01-01T03:05:34,946695933.748, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
g20240109_pro3p2_bb, 2000-01-01T03:05:34,946695934.148, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
g20240109_pro3p2_bb, 2000-01-01T03:05:35,946695934.548, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
g20240109_pro3p2_bb, 2000-01-01T03:05:35,946695934.948, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
vvg20240109_pro3p2_bb, 2000-01-01T03:05:35,946695935.348, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
g20240109_pro3p2_bb, 2000-01-01T03:05:36,946695935.748, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
0g20240109_pro3p2_bb, 2000-01-01T03:05:36,946695936.148, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
;g20240109_pro3p2_bb, 2000-01-01T03:05:37,946695936.548, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
g20240109_pro3p2_bb, 2000-01-01T03:05:37,946695936.948, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,


g20240109_pro3p2_bb, 2000-01-01T03:05:37,946695937.348, 0.100, 0, 360000,1, 0, 247, 0, 25.000,14.000,    0.000,    0.000,14.30000,  13.80000,0.00000,14.00000,13.99997,   0.000031, 1.00000,0.99687,1.00000,0.025,
cmd: vv0
 Verbosity                    0 ->         1,        int (* vv)
 Verbosity                    0 ->         0,        int (* vv)
