unit_m,  c_time,       chm_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,       141.370, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       141.470, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       141.575, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       141.675, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       141.775, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       141.875, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       141.975, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.127, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.227, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.327, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.427, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.527, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.627, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.727, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.827, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       142.927, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
unit_sim,       143.038, 0, 0, 25.00000,25.00000, 13.80000,13.26770,0.00000,13.26770,   0.000,  0.000,  0.000,  0.000,  0,    -8561.1,   0.97622, 0, 
