unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro1a_20230219, 1970-01-01T00:04:16,       275.317, 0.108,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:16,       275.425, 0.103,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       275.528, 0.101,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       275.629, 0.099,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       275.728, 0.101,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       275.829, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       275.929, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       276.029, 0.099,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       276.128, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       276.228, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       276.328, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:17,       276.428, 0.101,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:18,       276.529, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:18,       276.629, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:04:18,       276.729, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
