unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep221224,2022-12-24T15:44:57, -3.928,  0.925,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 12.880, 13.080, -0.200,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -3.003,  0.925,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -2.900,  0.103,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -2.800,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -2.700,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -2.600,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -2.500,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -2.400,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -2.300,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:58, -2.200,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -2.100,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -2.000,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -1.900,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -1.800,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -1.700,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -1.600,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -1.500,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -1.400,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -1.300,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:44:59, -1.200,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -1.100,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -1.000,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -0.900,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -0.800,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -0.700,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -0.600,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -0.500,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -0.400,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -0.300,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:00, -0.200,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01, -0.100,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.000,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.100,  0.100,0,0,247, 25.000, 13.080, 50.000,  0.000, 13.080, 13.800,  0.150, 12.929, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.200,  0.100,0,0,247, 25.000, 13.080, 50.000,  0.173, 13.080, 13.800,  0.190, 12.887, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.300,  0.100,0,0,247, 25.000, 13.080, 50.000,  0.345, 13.080, 13.800,  0.211, 12.865, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.400,  0.100,0,0,247, 25.000, 13.080, 50.000,  0.515, 13.080, 13.800,  0.221, 12.853, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.500,  0.100,0,0,247, 25.000, 13.080, 50.000,  0.685, 13.080, 13.800,  0.227, 12.846, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.600,  0.100,0,0,247, 25.000, 13.080, 50.000,  0.852, 13.080, 13.800,  0.230, 12.842, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.700,  0.100,0,0,247, 25.000, 13.080, 50.000,  1.019, 13.080, 13.800,  0.232, 12.839, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:01,  0.800,  0.100,0,0,247, 25.000, 13.080, 50.000,  1.184, 13.080, 13.800,  0.233, 12.836, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:02,  0.900,  0.100,0,0,247, 25.000, 13.080, 50.000,  1.348, 13.080, 13.800,  0.233, 12.834, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:02,  1.000,  0.100,0,0,247, 25.000, 13.080, 50.000,  1.510, 13.080, 13.800,  0.234, 12.832, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:02,  1.100,  0.100,0,0,247, 25.000, 13.080, 50.000,  1.672, 13.080, 13.800,  0.235, 12.830, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:02,  1.200,  0.100,0,0,247, 25.000, 13.080, 50.000,  1.832, 13.080, 13.800,  0.235, 12.829, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:02,  1.300,  0.100,0,0,247, 25.000, 13.080, 50.000,  1.991, 13.080, 13.800,  0.236, 12.827, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:02,  1.400,  0.100,0,0,247, 25.000, 13.080, 50.000,  2.148, 13.080, 13.800,  0.236, 12.825, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:02,  1.500,  0.100,0,0,247, 25.000, 13.080, 50.000,  2.305, 13.080, 13.800,  0.236, 12.823, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221224,2022-12-24T15:45:02,  1.600,  0.100,0,0,247, 25.000, 13.080, 50.000,  2.460, 13.080, 13.800,  0.237, 12.821, 13.080,  0.000,  0.500,  0.500,  0.500,
