fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-02-27T19:23:16, 1677525796,   0.000,  13.170,   0.000,   0.000,  25.000,  13.170,  50.000,  0.5008,  0.5008,  12.418,  12.412,   0.570, 256, 0,
unit_f, 2023-02-27T19:23:26, 1677525806,   0.000,  13.170,   0.000,   0.000,  25.000,  13.170,  50.000,  0.5021,  0.5022,  12.341,  12.324,   0.801, 416, 256,
unit_f, 2023-02-27T19:23:27, 1677525807,   0.000,  13.170,   0.000,   0.000,  25.000,  13.170,  50.000,  0.5021,  0.5022,  12.338,  12.322,   0.806, 416, 288,
unit_f, 2023-02-27T19:23:37, 1677525817,   0.000,  13.170,   0.000,   0.000,  25.000,  13.170,  50.000,  0.5035,  0.5033,  12.287,  12.261,   0.886, 416, 288,
unit_f, 2023-02-27T19:23:16, 1677525796,   0.000,  13.170,   0.000,   0.000,  25.000,  13.170,  50.000,  0.5008,  0.5008,  12.418,  12.412,   0.570, 256, 0,
unit_f, 2023-02-27T19:23:26, 1677525806,   0.000,  13.170,   0.000,   0.000,  25.000,  13.170,  50.000,  0.5021,  0.5022,  12.341,  12.324,   0.801, 416, 256,
unit_f, 2023-02-27T19:23:27, 1677525807,   0.000,  13.170,   0.000,   0.000,  25.000,  13.170,  50.000,  0.5021,  0.5022,  12.338,  12.322,   0.806, 416, 288,
unit_f, 2023-02-27T19:23:37, 1677525817,   0.000,  13.170,   0.000,   0.000,  25.000,  13.170,  50.000,  0.5035,  0.5033,  12.287,  12.261,   0.886, 416, 288,
unit_f, 2023-02-27T19:25:01, 1677525901,   0.000,  13.176,   0.000,   0.000,  25.000,  13.176,   0.000,  0.5132,  0.5132,  13.176,  13.176,   0.000, 0, 0,
unit_f, 2023-02-27T19:25:11, 1677525911,   0.000,  13.176,   0.000,   0.000,  25.000,  13.176,   0.000,  0.5132,  0.5132,  13.176,  13.176,   0.000, 0, 0,
