unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  Vb,  Ib,  ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep221121,2022-11-21T09:14:58, -0.499,  0.399,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,    nan,    nan, 13.080,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59, -0.100,  0.399,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,    nan,    nan, 13.080,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.000,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.103,  0.103,0,0,7, 25.000, 13.080,  6.000,  0.000, 13.080, 13.800,  0.018, 13.062,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.203,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.002, 13.080, 13.800,  0.023, 13.057,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.303,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.004, 13.080, 13.800,  0.025, 13.055,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.404,  0.101,0,0,7, 25.000, 13.080,  6.000,  0.006, 13.080, 13.800,  0.027, 13.053,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.504,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.008, 13.080, 13.800,  0.027, 13.053,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.604,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.010, 13.080, 13.800,  0.028, 13.052,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.703,  0.099,0,0,7, 25.000, 13.080,  6.000,  0.013, 13.080, 13.800,  0.028, 13.052,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:14:59,  0.803,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.015, 13.080, 13.800,  0.028, 13.052,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  0.903,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.017, 13.080, 13.800,  0.028, 13.052,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.003,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.019, 13.080, 13.800,  0.028, 13.052,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.104,  0.101,0,0,7, 25.000, 13.080,  6.000,  0.021, 13.080, 13.800,  0.028, 13.052,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.203,  0.099,0,0,7, 25.000, 13.080,  6.000,  0.023, 13.080, 13.800,  0.028, 13.052,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.304,  0.101,0,0,7, 25.000, 13.080,  6.000,  0.025, 13.080, 13.800,  0.028, 13.052,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.404,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.027, 13.080, 13.800,  0.028, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.504,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.029, 13.080, 13.800,  0.028, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.603,  0.099,0,0,7, 25.000, 13.080,  6.000,  0.031, 13.080, 13.800,  0.028, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.703,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.033, 13.080, 13.800,  0.028, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:00,  1.803,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.035, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  1.903,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.037, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.003,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.040, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.103,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.042, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.203,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.044, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.304,  0.101,0,0,7, 25.000, 13.080,  6.000,  0.046, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.403,  0.099,0,0,7, 25.000, 13.080,  6.000,  0.048, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.504,  0.101,0,0,7, 25.000, 13.080,  6.000,  0.050, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.603,  0.099,0,0,7, 25.000, 13.080,  6.000,  0.052, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.704,  0.101,0,0,7, 25.000, 13.080,  6.000,  0.054, 13.080, 13.800,  0.029, 13.051,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:01,  2.803,  0.099,0,0,7, 25.000, 13.080,  6.000,  0.056, 13.080, 13.800,  0.029, 13.050,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:02,  2.903,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.058, 13.080, 13.800,  0.029, 13.050,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:02,  3.003,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.060, 13.080, 13.800,  0.029, 13.050,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:02,  3.103,  0.100,0,0,7, 25.000, 13.080,  6.000,  0.062, 13.080, 13.800,  0.029, 13.050,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:02,  3.204,  0.101,0,0,7, 25.000, 13.080,  6.000,  0.064, 13.080, 13.800,  0.029, 13.050,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:02,  3.303,  0.099,0,0,7, 25.000, 13.080,  6.000,  0.066, 13.080, 13.800,  0.029, 13.050,    nan,    nan,  0.500,    nan,  0.500,
mon_rep221121,2022-11-21T09:15:02,  3.404,  0.101,0,0,7, 25.000, 13.080,  6.000,  0.068, 13.080, 13.800,  0.029, 13.050,    nan,    nan,  0.500,    nan,  0.500,
