fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 1970-01-01T08:03:54, 29034,   0.058,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T08:04:04, 29044,   0.058,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T08:04:13, 29053,   0.058,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T08:04:23, 29063,   0.058,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T08:04:32, 29072,   0.058,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T08:04:42, 29082,   0.058,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T08:04:51, 29091,   0.058,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T08:09:10, 29350,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5045,  0.5017,  13.008,  12.956,   0.126, 384, 256,
unit_f, 1970-01-01T08:09:20, 29360,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5046,  0.5016,  13.008,  12.955,   0.126, 384, 256,
unit_f, 1970-01-01T08:09:29, 29369,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5048,  0.5016,  13.008,  12.955,   0.126, 384, 256,
unit_f, 1970-01-01T08:09:38, 29378,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5050,  0.5014,  13.007,  12.955,   0.127, 384, 256,
unit_f, 1970-01-01T08:09:47, 29387,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5051,  0.5014,  13.007,  12.955,   0.127, 384, 256,
unit_f, 1970-01-01T08:09:57, 29397,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   0.000,  0.5053,  0.5013,  13.007,  12.955,   0.127, 384, 272,
unit_f, 1970-01-01T08:10:06, 29406,   0.058,  13.082,   0.000,   0.000,  25.000,  13.082,   0.000,  0.5053,  0.5053,  13.082,  13.082,   0.007, 384, 256,
unit_f, 1970-01-01T08:09:10, 29350,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5045,  0.5017,  13.008,  12.956,   0.126, 384, 256,
unit_f, 1970-01-01T08:09:20, 29360,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5046,  0.5016,  13.008,  12.955,   0.126, 384, 256,
unit_f, 1970-01-01T08:09:29, 29369,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5048,  0.5016,  13.008,  12.955,   0.126, 384, 256,
unit_f, 1970-01-01T08:09:38, 29378,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5050,  0.5014,  13.007,  12.955,   0.127, 384, 256,
unit_f, 1970-01-01T08:09:47, 29387,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   6.000,  0.5051,  0.5014,  13.007,  12.955,   0.127, 384, 256,
unit_f, 1970-01-01T08:09:57, 29397,   0.058,  13.079,   0.000,   0.000,  25.000,  13.079,   0.000,  0.5053,  0.5013,  13.007,  12.955,   0.127, 384, 272,
unit_f, 1970-01-01T08:10:06, 29406,   0.058,  13.082,   0.000,   0.000,  25.000,  13.082,   0.000,  0.5053,  0.5053,  13.082,  13.082,   0.007, 384, 256,
