unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,  Tb,  Vb,  Ib,   ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro_20221028, 2022-10-29T03:45:43,  60374757.847, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:43,  60374757.947, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:43,  60374758.047, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:43,  60374758.147, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374758.247, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374758.347, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374758.447, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374758.547, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374758.647, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374758.747, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374758.847, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374758.947, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374759.047, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:44,  60374759.147, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374759.247, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374759.347, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374759.447, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374759.547, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374759.647, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374759.747, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374759.847, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374759.947, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374760.047, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:45,  60374760.147, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374760.247, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374760.347, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374760.447, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374760.547, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374760.647, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374760.747, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374760.847, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374760.947, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374761.047, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:46,  60374761.147, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374761.247, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374761.347, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374761.447, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374761.547, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374761.647, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374761.747, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374761.847, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374761.947, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374762.047, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:47,  60374762.147, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374762.247, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374762.347, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374762.447, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374762.547, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374762.647, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374762.747, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374762.848, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374762.947, 0.100,   0,  0,  0,  7,  25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-10-29T03:45:48,  60374763.047, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,     0.000,13.08000,    13.80000,-0.15000,13.23014,13.08000,   0.000000, 0.50000,0.50000,0.49998,
pro_20221028, 2022-10-29T03:45:48,  60374763.148, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.017,13.08000,    13.80000,-0.19046,13.27074,13.08000,   0.000000, 0.50000,0.50000,0.49997,
pro_20221028, 2022-10-29T03:45:49,  60374763.247, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.035,13.08000,    13.80000,-0.21093,13.29134,13.07993,   0.211414, 0.50000,0.49972,0.49995,
pro_20221028, 2022-10-29T03:45:49,  60374763.347, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.052,13.07999,    13.80000,-0.22139,13.30195,13.07993,   0.211414, 0.50000,0.49972,0.49994,
pro_20221028, 2022-10-29T03:45:49,  60374763.447, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.069,13.07999,    13.80000,-0.22685,13.30755,13.07993,   0.211414, 0.50000,0.49972,0.49993,
pro_20221028, 2022-10-29T03:45:49,  60374763.547, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.087,13.07998,    13.80000,-0.22981,13.31065,13.07993,   0.211414, 0.50000,0.49972,0.49991,
pro_20221028, 2022-10-29T03:45:49,  60374763.647, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.104,13.07998,    13.80000,-0.23152,13.31250,13.07993,   0.211414, 0.50000,0.49972,0.49990,
pro_20221028, 2022-10-29T03:45:49,  60374763.747, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.121,13.07998,    13.80000,-0.23261,13.31372,13.07993,   0.211414, 0.50000,0.49972,0.49989,
pro_20221028, 2022-10-29T03:45:49,  60374763.847, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.139,13.07998,    13.80000,-0.23338,13.31463,13.07993,   0.211414, 0.50000,0.49972,0.49987,
pro_20221028, 2022-10-29T03:45:49,  60374763.947, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.156,13.07997,    13.80000,-0.23400,13.31539,13.07993,   0.211414, 0.50000,0.49972,0.49986,
pro_20221028, 2022-10-29T03:45:49,  60374764.047, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.173,13.07997,    13.80000,-0.23454,13.31606,13.07993,   0.211414, 0.50000,0.49972,0.49984,
pro_20221028, 2022-10-29T03:45:49,  60374764.147, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.190,13.07996,    13.80000,-0.23503,13.31670,13.07993,   0.211414, 0.50000,0.49972,0.49983,
pro_20221028, 2022-10-29T03:45:50,  60374764.247, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.208,13.07996,    13.80000,-0.23551,13.31731,13.07993,   0.211414, 0.50000,0.49972,0.49982,
pro_20221028, 2022-10-29T03:45:50,  60374764.347, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.225,13.07996,    13.80000,-0.23598,13.31792,13.07993,   0.211414, 0.50000,0.49972,0.49980,
pro_20221028, 2022-10-29T03:45:50,  60374764.447, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.242,13.07995,    13.80000,-0.23644,13.31852,13.07993,   0.211414, 0.50000,0.49972,0.49979,
pro_20221028, 2022-10-29T03:45:50,  60374764.547, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.259,13.07995,    13.80000,-0.23690,13.31911,13.07993,   0.211414, 0.50000,0.49972,0.49977,
pro_20221028, 2022-10-29T03:45:50,  60374764.647, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.277,13.07995,    13.80000,-0.23735,13.31971,13.07993,   0.211414, 0.50000,0.49972,0.49976,
pro_20221028, 2022-10-29T03:45:50,  60374764.747, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.294,13.07994,    13.80000,-0.23781,13.32030,13.07993,   0.211414, 0.50000,0.49972,0.49975,
pro_20221028, 2022-10-29T03:45:50,  60374764.847, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.311,13.07994,    13.80000,-0.23826,13.32089,13.07993,   0.211414, 0.50000,0.49972,0.49973,
pro_20221028, 2022-10-29T03:45:50,  60374764.947, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.328,13.07994,    13.80000,-0.23872,13.32149,13.07993,   0.211414, 0.50000,0.49972,0.49972,
pro_20221028, 2022-10-29T03:45:50,  60374765.047, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.345,13.07993,    13.80000,-0.23917,13.32208,13.07993,   0.211414, 0.50000,0.49972,0.49970,
pro_20221028, 2022-10-29T03:45:50,  60374765.147, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.362,13.07993,    13.80000,-0.23962,13.32267,13.07993,   0.211414, 0.50000,0.49972,0.49969,
pro_20221028, 2022-10-29T03:45:51,  60374765.248, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.380,13.07993,    13.80000,-0.24008,13.32326,13.07986,   0.243400, 0.50000,0.49944,0.49968,
pro_20221028, 2022-10-29T03:45:51,  60374765.347, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.397,13.07992,    13.80000,-0.24053,13.32385,13.07986,   0.243400, 0.50000,0.49944,0.49966,
pro_20221028, 2022-10-29T03:45:51,  60374765.447, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.414,13.07992,    13.80000,-0.24098,13.32444,13.07986,   0.243400, 0.50000,0.49944,0.49965,
pro_20221028, 2022-10-29T03:45:51,  60374765.547, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.431,13.07992,    13.80000,-0.24143,13.32503,13.07986,   0.243400, 0.50000,0.49944,0.49964,
pro_20221028, 2022-10-29T03:45:51,  60374765.647, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.448,13.07991,    13.80000,-0.24188,13.32561,13.07986,   0.243400, 0.50000,0.49944,0.49962,
pro_20221028, 2022-10-29T03:45:51,  60374765.747, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.465,13.07991,    13.80000,-0.24233,13.32620,13.07986,   0.243400, 0.50000,0.49944,0.49961,
pro_20221028, 2022-10-29T03:45:51,  60374765.847, 0.100,   0,  0,  0,  7,  25.0,13.080,   -50.000,    -0.482,13.07990,    13.80000,-0.24278,13.32679,13.07986,   0.243400, 0.50000,0.49944,0.49959,
