unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  Vb,  Ib,  ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep221129,2022-11-29T12:14:46,  0.000,  0.100,0,0,0, 10.000, 13.163, -1.609,-16.233, 14.417, 13.740, -0.005, 13.368,  4.000,  9.368,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:46,  0.100,  0.100,0,0,0, 10.000, 13.172, -1.609,-16.220, 14.417, 13.740, -0.020, 13.392,  4.000,  9.392,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:46,  0.199,  0.099,0,0,0, 10.000, 13.176, -1.609,-16.230, 14.417, 13.740, -0.020, 13.396,  4.000,  9.396,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:46,  0.300,  0.101,0,0,0, 10.000, 13.163, -1.609,-16.233, 14.417, 13.740, -0.020, 13.383,  4.000,  9.383,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:46,  0.399,  0.099,0,0,0, 10.000, 13.163, -1.609,-16.233, 14.417, 13.740, -0.020, 13.383,  4.000,  9.383,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:46,  0.499,  0.100,0,0,0, 10.000, 13.159, -1.609,-16.223, 14.417, 13.740, -0.020, 13.379,  4.000,  9.379,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:46,  0.599,  0.100,0,0,0, 10.000, 13.151, -1.609,-16.203, 14.417, 13.740, -0.020, 13.370,  4.000,  9.370,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:47,  0.700,  0.101,0,0,0, 10.000, 13.172, -1.609,-16.220, 14.417, 13.740, -0.020, 13.392,  4.000,  9.392,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:47,  0.800,  0.100,0,0,0, 10.000, 13.172, -1.609,-16.220, 14.417, 13.740, -0.020, 13.392,  4.000,  9.392,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:47,  0.899,  0.099,0,0,0, 10.000, 13.168, -1.609,-16.210, 14.415, 13.740, -0.020, 13.388,  4.000,  9.388,  1.000,  0.009,  1.000,
mon_rep221129,2022-11-29T12:14:47,  1.000,  0.101,0,0,0, 10.000, 13.163, -1.609,-16.233, 14.415, 13.740, -0.020, 13.383,  4.000,  9.383,  1.000,  0.009,  1.000,
