unit_m,  c_time,       chm_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,  63173610.947, 0, 0, 10.06250,10.06250, 13.73997,14.41686,-4.65211,9.56475,  -1.542, -1.609, -1.609,-16.218,  1,      -79.9,   0.99976, 0, 
unit_sim,  63173611.047, 0, 0, 10.06250,10.06250, 13.73997,14.41678,-4.64670,9.57007,  -1.609, -1.609, -1.609,-16.218,  1,      -80.1,   0.99976, 0, 
unit_sim,  63173611.146, 0, 0, 10.06250,10.06250, 13.73997,14.41670,-4.64117,9.57553,  -1.609, -1.609, -1.609,-16.218,  1,      -80.2,   0.99976, 0, 
unit_sim,  63173611.247, 0, 0, 10.06250,10.06250, 13.73997,14.41661,-4.63568,9.58094,  -1.609, -1.609, -1.609,-16.218,  1,      -80.4,   0.99976, 0, 
unit_sim,  63173611.346, 0, 0, 10.06250,10.06250, 13.73997,14.41653,-4.63007,9.58646,  -1.609, -1.609, -1.609,-16.218,  1,      -80.6,   0.99976, 0, 
unit_sim,  63173611.446, 0, 0, 10.06250,10.06250, 13.73997,14.41645,-4.62458,9.59187,  -1.609, -1.609, -1.609,-16.218,  1,      -80.7,   0.99976, 0, 
unit_sim,  63173611.546, 0, 0, 10.06250,10.06250, 13.73997,14.41636,-4.61903,9.59732,  -1.609, -1.609, -1.609,-16.218,  1,      -80.9,   0.99976, 0, 
unit_sim,  63173611.647, 0, 0, 10.06250,10.06250, 13.73997,14.41628,-4.61349,9.60278,  -1.609, -1.609, -1.609,-16.218,  1,      -81.0,   0.99976, 0, 
unit_sim,  63173611.747, 0, 0, 10.06250,10.06250, 13.73997,14.41619,-4.60790,9.60829,  -1.609, -1.609, -1.609,-16.218,  1,      -81.2,   0.99976, 0, 
unit_sim,  63173611.846, 0, 0, 10.06250,10.06250, 13.73997,14.41611,-4.60238,9.61374,  -1.609, -1.609, -1.609,-16.218,  1,      -81.4,   0.99975, 0, 
unit_sim,  63173611.947, 0, 0, 10.06250,10.06250, 13.73997,14.41603,-4.59691,9.61912,  -1.609, -1.609, -1.609,-16.218,  1,      -81.5,   0.99975, 0, 
unit_sim,  63173612.046, 0, 0, 10.06250,10.06250, 13.73997,14.41595,-4.59134,9.62461,  -1.609, -1.542, -1.542,-16.218,  1,      -81.7,   0.99975, 0, 
unit_sim,  63173612.146, 0, 0, 10.06250,10.06250, 13.73997,14.41587,-4.58569,9.63018,  -1.542, -1.542, -1.542,-16.218,  1,      -81.8,   0.99975, 0, 
unit_sim,  63173612.246, 0, 0, 10.06250,10.06250, 13.73997,14.41578,-4.58013,9.63565,  -1.542, -1.609, -1.609,-16.218,  1,      -82.0,   0.99975, 0, 
unit_sim,  63173612.347, 0, 0, 10.06250,10.06250, 13.73997,14.41570,-4.57481,9.64089,  -1.609, -1.609, -1.609,-16.218,  1,      -82.2,   0.99975, 0, 
unit_sim,  63173612.447, 0, 0, 10.06250,10.06250, 13.73997,14.41562,-4.56931,9.64631,  -1.609, -1.609, -1.609,-16.218,  1,      -82.3,   0.99975, 0, 
unit_sim,  63173612.547, 0, 0, 10.06250,10.06250, 13.73997,14.41554,-4.56385,9.65169,  -1.609, -1.609, -1.609,-16.218,  1,      -82.5,   0.99975, 0, 
unit_sim,  63173612.655, 0, 0, 10.06250,10.06250, 13.74001,14.41547,-4.55838,9.65709,  -1.609, -1.609, -1.609,-16.218,  1,      -88.8,   0.99973, 0, 
unit_sim,  63173612.754, 0, 0, 10.06250,10.06250, 13.74001,14.41221,-4.55248,9.65973,  -1.609, -1.609, -1.609,-16.218,  1,      -94.5,   0.99972, 0, 
unit_sim,  63173612.854, 0, 0, 10.06250,10.06250, 13.74001,14.40925,-4.54708,9.66217,  -1.609, -1.609, -1.609,-16.218,  1,     -100.3,   0.99970, 0, 
unit_sim,  63173612.955, 0, 0, 10.06250,10.06250, 13.74001,14.40625,-4.54162,9.66462,  -1.609, -1.609, -1.609,-16.219,  1,     -106.1,   0.99968, 0, 
unit_sim,  63173613.055, 0, 0, 10.06250,10.06250, 13.74001,14.40321,-4.53612,9.66709,  -1.609, -1.609, -1.609,-16.219,  1,     -111.9,   0.99966, 0, 
unit_sim,  63173613.155, 0, 0, 10.06250,10.06250, 13.74001,14.40021,-4.53068,9.66953,  -1.609, -1.542, -1.542,-16.219,  1,     -116.6,   0.99965, 0, 
unit_sim,  63173613.254, 0, 0, 10.06250,10.06250, 13.74001,14.39779,-4.52505,9.67274,  -1.542, -1.542, -1.542,-16.219,  1,     -116.8,   0.99965, 0, 
unit_sim,  63173613.354, 0, 0, 10.06250,10.06250, 13.74001,14.39771,-4.51962,9.67809,  -1.542, -1.542, -1.542,-16.219,  1,     -116.9,   0.99965, 0, 
unit_sim,  63173613.455, 0, 0, 10.06250,10.06250, 13.74001,14.39762,-4.51417,9.68345,  -1.542, -1.542, -1.542,-16.219,  1,     -117.1,   0.99965, 0, 
unit_sim,  63173613.555, 0, 0, 10.06250,10.06250, 13.74001,14.39754,-4.50869,9.68886,  -1.542, -1.609, -1.609,-16.219,  1,     -117.2,   0.99965, 0, 
unit_sim,  63173613.655, 0, 0, 10.06250,10.06250, 13.74001,14.39746,-4.50347,9.69399,  -1.609, -1.609, -1.609,-16.219,  1,     -117.4,   0.99965, 0, 
