unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  Vb,  Ib,   Ib_charge, ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro_20221028, 2022-11-25T10:45:44,  62819283.784, 0.100,   0,  0,  0,  7,  0, 25.0,13.082,     0.100,     0.100,     0.100,13.08003,    13.80000,0.00123,13.08003,13.08004,  -0.000001, 0.50008,0.50008,0.50008,
pro_20221028, 2022-11-25T10:45:44,  62819283.884, 0.104,   0,  0,  0,  7,  0, 25.0,13.082,     0.100,     0.100,     0.100,13.08000,    13.80000,0.00123,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:44,  62819283.988, 0.032,   0,  0,  0,  7,  0, 25.0,13.082,     0.100,     0.100,     0.100,13.08000,    13.80000,0.00123,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:44,  62819284.020, 0.092,   0,  0,  0,  7,  0, 25.0,13.082,     0.100,     0.100,     0.100,13.08000,    13.80000,0.00123,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:44,  62819284.112, 0.101,   0,  0,  0,  7,  0, 25.0,13.082,     0.100,     0.100,     0.100,13.08000,    13.80000,0.00123,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:44,  62819284.213, 0.100,   0,  0,  0,  7,  0, 25.0,13.082,     0.100,     0.100,     0.100,13.08000,    13.80000,0.00123,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:44,  62819284.313, 0.100,   0,  0,  0,  7,  0, 25.0,13.082,     0.100,     0.100,     0.100,13.08000,    13.80000,0.00123,13.08000,13.08000,   0.000000, 0.49999,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:44,  62819284.413, 0.099,   0,  0,  0,  7,  0, 25.0,13.097,     0.100,     0.100,     0.100,13.08000,    13.80000,0.00123,13.09476,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:44,  62819284.512, 0.101,   0,  0,  0,  7,  0, 25.0,13.086,     0.003,     0.003,     0.100,13.08000,    13.80000,0.00094,13.08443,13.08000,   0.000000, 0.50001,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:44,  62819284.613, 0.100,   0,  0,  0,  7,  0, 25.0,13.065,     0.006,     0.006,     0.100,13.08000,    13.80000,0.00087,13.06363,13.08000,   0.000000, 0.50002,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819284.713, 0.100,   0,  0,  0,  7,  0, 25.0,13.074,     0.013,     0.013,     0.100,13.08000,    13.80000,0.00085,13.07192,13.08000,   0.000000, 0.50001,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819284.813, 0.100,   0,  0,  0,  7,  0, 25.0,13.090,     0.026,     0.026,     0.100,13.08000,    13.80000,0.00088,13.08882,13.08000,   0.000000, 0.50002,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819284.913, 0.100,   0,  0,  0,  7,  0, 25.0,13.074,     0.051,     0.051,     0.100,13.08000,    13.80000,0.00096,13.07221,13.08000,   0.000000, 0.50003,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819285.013, 0.100,   0,  0,  0,  7,  0, 25.0,13.091,     0.104,     0.104,     0.100,13.08000,    13.80000,0.00114,13.08936,13.08000,   0.000000, 0.50002,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819285.113, 0.100,   0,  0,  0,  7,  0, 25.0,13.076,     0.005,     0.005,     0.100,13.08000,    13.80000,0.00089,13.07385,13.08000,   0.000000, 0.50003,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819285.213, 0.100,   0,  0,  0,  7,  0, 25.0,13.094,     0.010,     0.010,     0.100,13.08000,    13.80000,0.00085,13.09279,13.08000,   0.000000, 0.50002,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819285.313, 0.100,   0,  0,  0,  7,  0, 25.0,13.082,     0.019,     0.019,     0.100,13.08000,    13.80000,0.00086,13.08018,13.08000,   0.000000, 0.50001,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819285.413, 0.100,   0,  0,  0,  7,  0, 25.0,13.107,     0.038,     0.038,     0.100,13.08000,    13.80000,0.00091,13.10532,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819285.513, 0.100,   0,  0,  0,  7,  0, 25.0,13.107,     0.077,     0.077,     0.100,13.08000,    13.80000,0.00104,13.10480,13.08000,   0.000000, 0.50001,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:45,  62819285.613, 0.100,   0,  0,  0,  7,  0, 25.0,13.106,     0.155,     0.155,     0.100,13.08000,    13.80000,0.00131,13.10374,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:46,  62819285.713, 0.100,   0,  0,  0,  7,  0, 25.0,13.104,     0.106,     0.106,     0.100,13.08000,    13.80000,0.00125,13.10223,13.08000,   0.000000, 0.49999,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:46,  62819285.813, 0.100,   0,  0,  0,  7,  0, 25.0,13.101,     0.008,     0.008,     0.100,13.08000,    13.80000,0.00096,13.09937,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:46,  62819285.913, 0.100,   0,  0,  0,  7,  0, 25.0,13.095,     0.016,     0.016,     0.100,13.08000,    13.80000,0.00090,13.09313,13.08000,   0.013128, 0.49999,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:46,  62819286.013, 0.100,   0,  0,  0,  7,  0, 25.0,13.082,     0.032,     0.032,     0.100,13.08000,    13.80000,0.00092,13.08051,13.08000,   0.013128, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:46,  62819286.113, 0.100,   0,  0,  0,  7,  0, 25.0,13.057,     0.064,     0.064,     0.100,13.08000,    13.80000,0.00101,13.05562,13.08000,   0.013128, 0.49999,0.50000,0.50000,
pro_20221028, 2022-11-25T10:45:46,  62819286.213, 0.100,   0,  0,  0,  7,  0, 25.0,13.058,     0.130,     0.130,     0.100,13.08000,    13.80000,0.00123,13.05579,13.08000,   0.013128, 0.49999,0.50000,0.50000,
