fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-03-07T21:51:25, 1678225885,   0.000,  13.330,   0.000,   0.000,  25.000,  13.330,   0.000,  0.8999,  0.8999,  13.330,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:51:36, 1678225896,   0.000,  13.330,   0.000,   0.000,  25.000,  13.330,   0.000,  0.8999,  0.8999,  13.330,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:51:46, 1678225906,   0.000,  13.330,   0.000,   0.000,  25.000,  13.330,   0.000,  0.8999,  0.8999,  13.330,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:51:56, 1678225916,   0.000,  13.329,   0.000,   0.000,  25.000,  13.329,   0.000,  0.8999,  0.8999,  13.329,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:52:06, 1678225926,   0.000,  13.329,   0.000,   0.000,  25.000,  13.329,   0.000,  0.8999,  0.8999,  13.329,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:52:16, 1678225936,   0.000,  13.329,   0.000,   0.000,  25.000,  13.329,   0.000,  0.8999,  0.8999,  13.329,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:52:26, 1678225946,   0.000,  13.329,   0.000,   0.000,  25.000,  13.329,   0.000,  0.8999,  0.8999,  13.329,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:51:25, 1678225885,   0.000,  13.330,   0.000,   0.000,  25.000,  13.330,   0.000,  0.8999,  0.8999,  13.330,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:51:36, 1678225896,   0.000,  13.330,   0.000,   0.000,  25.000,  13.330,   0.000,  0.8999,  0.8999,  13.330,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:51:46, 1678225906,   0.000,  13.330,   0.000,   0.000,  25.000,  13.330,   0.000,  0.8999,  0.8999,  13.330,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:51:56, 1678225916,   0.000,  13.329,   0.000,   0.000,  25.000,  13.329,   0.000,  0.8999,  0.8999,  13.329,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:52:06, 1678225926,   0.000,  13.329,   0.000,   0.000,  25.000,  13.329,   0.000,  0.8999,  0.8999,  13.329,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:52:16, 1678225936,   0.000,  13.329,   0.000,   0.000,  25.000,  13.329,   0.000,  0.8999,  0.8999,  13.329,  13.298,   0.000, 0, 0,
unit_f, 2023-03-07T21:52:26, 1678225946,   0.000,  13.329,   0.000,   0.000,  25.000,  13.329,   0.000,  0.8999,  0.8999,  13.329,  13.298,   0.000, 0, 0,
