unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro1a_20230219, 1970-01-01T07:12:44,      3495.768, 0.110,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3495.878, 0.104,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3495.982, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3496.082, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3496.182, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3496.282, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3496.382, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3496.482, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3496.582, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:44,      3496.682, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3496.782, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3496.882, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3496.982, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3497.082, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3497.182, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3497.282, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3497.382, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3497.482, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3497.582, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:45,      3497.682, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:46,      3497.782, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:46,      3497.882, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:46,      3497.982, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:46,      3498.082, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:46,      3498.182, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:46,      3498.282, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:46,      3498.382, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
pro1a_20230219, 1970-01-01T07:12:46,      3498.482, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.255,     0.000,     0.000,     0.000,13.25500,    13.80000,0.00000,13.25500,13.25500,   0.000000, 0.90000,0.90000,0.90000,
