unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  Vb,  Ib,  ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep221004,2022-10-04T04:13:47,  0.000,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.276, 13.080, 13.800,  0.000, 13.257, 13.080,  0.177,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:48,  0.400,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.256, 13.080, 13.800,  0.000, 13.257, 13.080,  0.177,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:48,  0.800,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.236, 13.080, 13.800,  0.000, 13.256, 13.080,  0.176,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:48,  1.200,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.215, 13.080, 13.800,  0.000, 13.256, 13.080,  0.176,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:49,  1.601,  0.401,0,0,7, 25.000, 13.080,  0.000,-19.195, 13.080, 13.800,  0.000, 13.256, 13.080,  0.176,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:49,  2.000,  0.399,0,0,7, 25.000, 13.080,  0.000,-19.175, 13.080, 13.800,  0.000, 13.256, 13.080,  0.176,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:50,  2.400,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.155, 13.080, 13.800,  0.000, 13.255, 13.080,  0.175,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:50,  2.801,  0.401,0,0,7, 25.000, 13.080,  0.000,-19.134, 13.080, 13.800,  0.000, 13.255, 13.080,  0.175,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:50,  3.200,  0.399,0,0,7, 25.000, 13.080,  0.000,-19.114, 13.080, 13.800,  0.000, 13.255, 13.080,  0.175,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:51,  3.600,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.094, 13.080, 13.800,  0.000, 13.255, 13.080,  0.175,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:51,  4.000,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.074, 13.080, 13.800,  0.000, 13.255, 13.080,  0.175,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:52,  4.400,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.053, 13.080, 13.800,  0.000, 13.254, 13.080,  0.174,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:52,  4.800,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.033, 13.080, 13.800,  0.000, 13.254, 13.080,  0.174,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:52,  5.200,  0.400,0,0,7, 25.000, 13.080,  0.000,-19.013, 13.080, 13.800,  0.000, 13.254, 13.080,  0.174,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:53,  5.600,  0.400,0,0,7, 25.000, 13.080,  0.000,-18.993, 13.080, 13.800,  0.000, 13.254, 13.080,  0.174,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:53,  6.000,  0.400,0,0,7, 25.000, 13.080,  0.000,-18.973, 13.080, 13.800,  0.000, 13.254, 13.080,  0.174,  0.500,  0.500,  0.500,
mon_rep221004,2022-10-04T04:13:54,  6.400,  0.400,0,0,7, 25.000, 13.080,  0.000,-18.953, 13.080, 13.800,  0.000, 13.253, 13.080,  0.173,  0.500,  0.500,  0.500,
