fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 1970-01-01T12:57:43, 46663,   0.000,  11.867,   0.000,   0.000,  25.000,  11.867,   0.000,  0.0793,  0.0751,  11.816,  11.814,   0.136, 0, 0,
unit_f, 1970-01-01T12:57:53, 46673,   0.000,  11.861,   0.000,   0.000,  25.000,  11.861,   0.000,  0.0793,  0.0751,  11.816,  11.814,   0.136, 0, 0,
unit_f, 1970-01-01T12:58:02, 46682,   0.000,  11.855,   0.000,   0.000,  25.000,  11.855,   0.000,  0.0793,  0.0751,  11.815,  11.814,   0.136, 0, 0,
unit_f, 1970-01-01T12:58:12, 46692,   0.000,  11.850,   0.000,   0.000,  25.000,  11.850,   0.000,  0.0793,  0.0751,  11.815,  11.814,   0.136, 0, 0,
unit_f, 1970-01-01T12:58:21, 46701,   0.000,  11.846,   0.000,   0.000,  25.000,  11.846,   0.000,  0.0793,  0.0751,  11.814,  11.814,   0.137, 0, 0,
unit_f, 1970-01-01T12:58:31, 46711,   0.000,  11.842,   0.000,   0.000,  25.000,  11.842,   0.000,  0.0793,  0.0751,  11.814,  11.814,   0.137, 0, 0,
unit_f, 1970-01-01T12:58:40, 46720,   0.000,  11.838,   0.000,   0.000,  25.000,  11.838,   0.000,  0.0793,  0.0750,  11.814,  11.814,   0.137, 0, 0,
unit_f, 1970-01-01T12:57:43, 46663,   0.000,  11.867,   0.000,   0.000,  25.000,  11.867,   0.000,  0.0793,  0.0751,  11.816,  11.814,   0.136, 0, 0,
unit_f, 1970-01-01T12:57:53, 46673,   0.000,  11.861,   0.000,   0.000,  25.000,  11.861,   0.000,  0.0793,  0.0751,  11.816,  11.814,   0.136, 0, 0,
unit_f, 1970-01-01T12:58:02, 46682,   0.000,  11.855,   0.000,   0.000,  25.000,  11.855,   0.000,  0.0793,  0.0751,  11.815,  11.814,   0.136, 0, 0,
unit_f, 1970-01-01T12:58:12, 46692,   0.000,  11.850,   0.000,   0.000,  25.000,  11.850,   0.000,  0.0793,  0.0751,  11.815,  11.814,   0.136, 0, 0,
unit_f, 1970-01-01T12:58:21, 46701,   0.000,  11.846,   0.000,   0.000,  25.000,  11.846,   0.000,  0.0793,  0.0751,  11.814,  11.814,   0.137, 0, 0,
unit_f, 1970-01-01T12:58:31, 46711,   0.000,  11.842,   0.000,   0.000,  25.000,  11.842,   0.000,  0.0793,  0.0751,  11.814,  11.814,   0.137, 0, 0,
unit_f, 1970-01-01T12:58:40, 46720,   0.000,  11.838,   0.000,   0.000,  25.000,  11.838,   0.000,  0.0793,  0.0750,  11.814,  11.814,   0.137, 0, 0,
