unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230308,2023-03-08T11:35:22,-10.884,  0.180,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:22,-10.704,  0.180,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:22,-10.599,  0.105,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:22,-10.499,  0.100,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:22,-10.400,  0.099,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:22,-10.300,  0.100,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:22,-10.200,  0.100,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:23,-10.099,  0.101,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:23,-10.000,  0.099,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
mon_rep230308,2023-03-08T11:35:23, -9.900,  0.100,0,0,247, 25.000, 11.000,  0.000,  0.000, 11.000, 13.800,  0.000, 11.000, 11.000,  0.000,  0.050,  0.050,  0.050,
