unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,      5186.121, 0,  360000, 0, 25.00532,25.00388, 13.80000,11.00008,0.00000,11.00008,   0.000,  0.000,  0.000,  0.000,  0,  -342014.0,   0.05000, 0, 
unit_sim,      5186.301, 0,  360000, 0, 24.98563,25.00082, 13.80000,10.99972,0.00000,10.99972,   0.000,  0.000,  0.000,  0.000,  0,  -342002.9,   0.05000, 0, 
unit_sim,      5186.406, 0,  360000, 0, 24.99626,24.99903, 13.80000,10.99995,0.00000,10.99995,   0.000,  0.000,  0.000,  0.000,  0,  -341996.5,   0.05000, 0, 
unit_sim,      5186.506, 0,  360000, 0, 25.01791,25.00073, 13.80000,11.00002,0.00000,11.00002,   0.000,  0.000,  0.000,  0.000,  0,  -342002.6,   0.05000, 0, 
unit_sim,      5186.606, 0,  360000, 0, 25.01043,25.00243, 13.80000,10.99994,0.00000,10.99994,   0.000,  0.000,  0.000,  0.000,  0,  -342008.8,   0.05000, 0, 
unit_sim,      5186.706, 0,  360000, 0, 24.99587,25.00073, 13.80000,10.99983,0.00000,10.99983,   0.000,  0.000,  0.000,  0.000,  0,  -342002.6,   0.05000, 0, 
unit_sim,      5186.806, 0,  360000, 0, 25.01713,25.00243, 13.80000,10.99994,0.00000,10.99994,   0.000,  0.000,  0.000,  0.000,  0,  -342008.8,   0.05000, 0, 
unit_sim,      5186.906, 0,  360000, 0, 25.00886,25.00413, 13.80000,10.99983,0.00000,10.99983,   0.000,  0.000,  0.000,  0.000,  0,  -342014.9,   0.05000, 0, 
unit_sim,      5187.007, 0,  360000, 0, 24.99272,25.00241, 13.80000,10.99972,0.00000,10.99972,   0.000,  0.000,  0.000,  0.000,  0,  -342008.7,   0.05000, 0, 
unit_sim,      5187.106, 0,  360000, 0, 25.01083,25.00410, 13.80000,10.99984,0.00000,10.99984,   0.000,  0.000,  0.000,  0.000,  0,  -342014.8,   0.05000, 0, 
unit_sim,      5187.206, 0,  360000, 0, 24.99665,25.00240, 13.80000,10.99972,0.00000,10.99972,   0.000,  0.000,  0.000,  0.000,  0,  -342008.6,   0.05000, 0, 
unit_sim,      5187.306, 0,  360000, 0, 25.01870,25.00410, 13.80000,10.99983,0.00000,10.99983,   0.000,  0.000,  0.000,  0.000,  0,  -342014.8,   0.05000, 0, 
unit_sim,      5187.406, 0,  360000, 0, 25.01201,25.00580, 13.80000,10.99972,0.00000,10.99972,   0.000,  0.000,  0.000,  0.000,  0,  -342020.9,   0.05000, 0, 
unit_sim,      5187.506, 0,  360000, 0, 24.99902,25.00410, 13.80000,10.99959,0.00000,10.99959,   0.000,  0.000,  0.000,  0.000,  0,  -342014.8,   0.05000, 0, 
unit_sim,      5187.606, 0,  360000, 0, 25.02343,25.00580, 13.80000,10.99972,0.00000,10.99972,   0.000,  0.000,  0.000,  0.000,  0,  -342020.9,   0.05000, 0, 
unit_sim,      5187.706, 0,  360000, 0, 25.02146,25.00750, 13.80000,10.99959,0.00000,10.99959,   0.000,  0.000,  0.000,  0.000,  0,  -342027.0,   0.05000, 0, 
unit_sim,      5187.807, 0,  360000, 0, 25.01752,25.00921, 13.80000,10.99948,0.00000,10.99948,   0.000,  0.000,  0.000,  0.000,  0,  -342033.2,   0.05000, 0, 
unit_sim,      5187.906, 0,  360000, 0, 25.00965,25.00965, 13.80000,10.99936,0.00000,10.99936,   0.000,  0.000,  0.000,  0.000,  0,  -342034.7,   0.05000, 0, 
unit_sim,      5188.006, 0,  360000, 0, 24.99429,25.00795, 13.80000,10.99932,0.00000,10.99932,   0.000,  0.000,  0.000,  0.000,  0,  -342028.6,   0.05000, 0, 
unit_sim,      5188.106, 0,  360000, 0, 25.01398,25.00965, 13.80000,10.99945,0.00000,10.99945,   0.000,  0.000,  0.000,  0.000,  0,  -342034.7,   0.05000, 0, 
unit_sim,      5188.206, 0,  360000, 0, 25.00256,25.00795, 13.80000,10.99932,0.00000,10.99932,   0.000,  0.000,  0.000,  0.000,  0,  -342028.6,   0.05000, 0, 
unit_sim,      5188.306, 0,  360000, 0, 24.98012,25.00625, 13.80000,10.99945,0.00000,10.99945,   0.000,  0.000,  0.000,  0.000,  0,  -342022.5,   0.05000, 0, 
unit_sim,      5188.406, 0,  360000, 0, 24.98524,25.00455, 13.80000,10.99956,0.00000,10.99956,   0.000,  0.000,  0.000,  0.000,  0,  -342016.4,   0.05000, 0, 
unit_sim,      5188.506, 0,  360000, 0, 24.99547,25.00285, 13.80000,10.99967,0.00000,10.99967,   0.000,  0.000,  0.000,  0.000,  0,  -342010.3,   0.05000, 0, 
unit_sim,      5188.606, 0,  360000, 0, 25.01634,25.00455, 13.80000,10.99980,0.00000,10.99980,   0.000,  0.000,  0.000,  0.000,  0,  -342016.4,   0.05000, 0, 
unit_sim,      5188.707, 0,  360000, 0, 25.00728,25.00626, 13.80000,10.99967,0.00000,10.99967,   0.000,  0.000,  0.000,  0.000,  0,  -342022.6,   0.05000, 0, 
unit_sim,      5188.806, 0,  360000, 0, 24.98957,25.00458, 13.80000,10.99955,0.00000,10.99955,   0.000,  0.000,  0.000,  0.000,  0,  -342016.5,   0.05000, 0, 
unit_sim,      5188.906, 0,  360000, 0, 25.00453,25.00453, 13.80000,10.99967,0.00000,10.99967,   0.000,  0.000,  0.000,  0.000,  0,  -342016.3,   0.05000, 0, 
unit_sim,      5189.006, 0,  360000, 0, 24.98405,25.00283, 13.80000,10.99968,0.00000,10.99968,   0.000,  0.000,  0.000,  0.000,  0,  -342010.2,   0.05000, 0, 
unit_sim,      5189.106, 0,  360000, 0, 24.99311,25.00113, 13.80000,10.99980,0.00000,10.99980,   0.000,  0.000,  0.000,  0.000,  0,  -342004.1,   0.05000, 0, 
unit_sim,      5189.206, 0,  360000, 0, 25.01161,25.00283, 13.80000,10.99992,0.00000,10.99992,   0.000,  0.000,  0.000,  0.000,  0,  -342010.2,   0.05000, 0, 
unit_sim,      5189.306, 0,  360000, 0, 24.99823,25.00113, 13.80000,10.99980,0.00000,10.99980,   0.000,  0.000,  0.000,  0.000,  0,  -342004.1,   0.05000, 0, 
unit_sim,      5189.407, 0,  360000, 0, 25.02185,25.00285, 13.80000,10.99992,0.00000,10.99992,   0.000,  0.000,  0.000,  0.000,  0,  -342010.2,   0.05000, 0, 
unit_sim,      5189.506, 0,  360000, 0, 25.01831,25.00453, 13.80000,10.99980,0.00000,10.99980,   0.000,  0.000,  0.000,  0.000,  0,  -342016.3,   0.05000, 0, 
unit_sim,      5189.606, 0,  360000, 0, 25.01122,25.00623, 13.80000,10.99968,0.00000,10.99968,   0.000,  0.000,  0.000,  0.000,  0,  -342022.4,   0.05000, 0, 
unit_sim,      5189.706, 0,  360000, 0, 24.99744,25.00453, 13.80000,10.99956,0.00000,10.99956,   0.000,  0.000,  0.000,  0.000,  0,  -342016.3,   0.05000, 0, 
unit_sim,      5189.806, 0,  360000, 0, 25.02028,25.00623, 13.80000,10.99968,0.00000,10.99968,   0.000,  0.000,  0.000,  0.000,  0,  -342022.4,   0.05000, 0, 
unit_sim,      5189.906, 0,  360000, 0, 25.01516,25.00793, 13.80000,10.99956,0.00000,10.99956,   0.000,  0.000,  0.000,  0.000,  0,  -342028.5,   0.05000, 0, 
unit_sim,      5190.006, 0,  360000, 0, 25.00492,25.00623, 13.80000,10.99944,0.00000,10.99944,   0.000,  0.000,  0.000,  0.000,  0,  -342022.4,   0.05000, 0, 
unit_sim,      5190.106, 0,  360000, 0, 24.98484,25.00453, 13.80000,10.99956,0.00000,10.99956,   0.000,  0.000,  0.000,  0.000,  0,  -342016.3,   0.05000, 0, 
unit_sim,      5190.206, 0,  360000, 0, 24.99468,25.00283, 13.80000,10.99968,0.00000,10.99968,   0.000,  0.000,  0.000,  0.000,  0,  -342010.2,   0.05000, 0, 
unit_sim,      5190.306, 0,  360000, 0, 25.01476,25.00453, 13.80000,10.99980,0.00000,10.99980,   0.000,  0.000,  0.000,  0.000,  0,  -342016.3,   0.05000, 0, 
unit_sim,      5190.406, 0,  360000, 0, 25.00413,25.00413, 13.80000,10.99968,0.00000,10.99968,   0.000,  0.000,  0.000,  0.000,  0,  -342014.9,   0.05000, 0, 
unit_sim,      5190.506, 0,  360000, 0, 24.98327,25.00243, 13.80000,10.99971,0.00000,10.99971,   0.000,  0.000,  0.000,  0.000,  0,  -342008.8,   0.05000, 0, 
unit_sim,      5190.606, 0,  360000, 0, 24.99154,25.00073, 13.80000,10.99982,0.00000,10.99982,   0.000,  0.000,  0.000,  0.000,  0,  -342002.6,   0.05000, 0, 
unit_sim,      5190.706, 0,  360000, 0, 25.00846,25.00243, 13.80000,10.99995,0.00000,10.99995,   0.000,  0.000,  0.000,  0.000,  0,  -342008.8,   0.05000, 0, 
unit_sim,      5190.806, 0,  360000, 0, 24.99193,25.00073, 13.80000,10.99982,0.00000,10.99982,   0.000,  0.000,  0.000,  0.000,  0,  -342002.6,   0.05000, 0, 
unit_sim,      5190.907, 0,  360000, 0, 25.00925,25.00245, 13.80000,10.99995,0.00000,10.99995,   0.000,  0.000,  0.000,  0.000,  0,  -342008.8,   0.05000, 0, 
unit_sim,      5191.006, 0,  360000, 0, 24.99350,25.00077, 13.80000,10.99983,0.00000,10.99983,   0.000,  0.000,  0.000,  0.000,  0,  -342002.8,   0.05000, 0, 
unit_sim,      5191.106, 0,  360000, 0, 25.01240,25.00247, 13.80000,10.99994,0.00000,10.99994,   0.000,  0.000,  0.000,  0.000,  0,  -342008.9,   0.05000, 0, 
unit_sim,      5191.206, 0,  360000, 0, 24.99980,25.00077, 13.80000,10.99982,0.00000,10.99982,   0.000,  0.000,  0.000,  0.000,  0,  -342002.8,   0.05000, 0, 
unit_sim,      5191.306, 0,  360000, 0, 25.02500,25.00247, 13.80000,10.99994,0.00000,10.99994,   0.000,  0.000,  0.000,  0.000,  0,  -342008.9,   0.05000, 0, 
unit_sim,      5191.406, 0,  360000, 0, 25.02461,25.00417, 13.80000,10.99982,0.00000,10.99982,   0.000,  0.000,  0.000,  0.000,  0,  -342015.0,   0.05000, 0, 
unit_sim,      5191.506, 0,  360000, 0, 25.02382,25.00587, 13.80000,10.99971,0.00000,10.99971,   0.000,  0.000,  0.000,  0.000,  0,  -342021.1,   0.05000, 0, 
unit_sim,      5191.606, 0,  360000, 0, 25.02224,25.00757, 13.80000,10.99958,0.00000,10.99958,   0.000,  0.000,  0.000,  0.000,  0,  -342027.2,   0.05000, 0, 
unit_sim,      5191.706, 0,  360000, 0, 25.01909,25.00927, 13.80000,10.99947,0.00000,10.99947,   0.000,  0.000,  0.000,  0.000,  0,  -342033.4,   0.05000, 0, 
unit_sim,      5191.806, 0,  360000, 0, 25.01279,25.01097, 13.80000,10.99934,0.00000,10.99934,   0.000,  0.000,  0.000,  0.000,  0,  -342039.5,   0.04999, 0, 
unit_sim,      5191.906, 0,  360000, 0, 25.00020,25.00927, 13.80000,10.99923,0.00000,10.99923,   0.000,  0.000,  0.000,  0.000,  0,  -342033.4,   0.05000, 0, 
unit_sim,      5192.006, 0,  360000, 0, 24.97539,25.00757, 13.80000,10.99934,0.00000,10.99934,   0.000,  0.000,  0.000,  0.000,  0,  -342027.2,   0.05000, 0, 
unit_sim,      5192.106, 0,  360000, 0, 24.97579,25.00587, 13.80000,10.99947,0.00000,10.99947,   0.000,  0.000,  0.000,  0.000,  0,  -342021.1,   0.05000, 0, 
unit_sim,      5192.206, 0,  360000, 0, 24.97657,25.00417, 13.80000,10.99958,0.00000,10.99958,   0.000,  0.000,  0.000,  0.000,  0,  -342015.0,   0.05000, 0, 
unit_sim,      5192.306, 0,  360000, 0, 24.97815,25.00247, 13.80000,10.99971,0.00000,10.99971,   0.000,  0.000,  0.000,  0.000,  0,  -342008.9,   0.05000, 0, 
unit_sim,      5192.406, 0,  360000, 0, 24.98130,25.00077, 13.80000,10.99982,0.00000,10.99982,   0.000,  0.000,  0.000,  0.000,  0,  -342002.8,   0.05000, 0, 
unit_sim,      5192.506, 0,  360000, 0, 24.98760,24.99907, 13.80000,10.99994,0.00000,10.99994,   0.000,  0.000,  0.000,  0.000,  0,  -341996.7,   0.05000, 0, 
unit_sim,      5192.606, 0,  360000, 0, 25.00059,25.00059, 13.80000,11.00002,0.00000,11.00002,   0.000,  0.000,  0.000,  0.000,  0,  -342002.1,   0.05000, 0, 
unit_sim,      5192.706, 0,  360000, 0, 24.97618,24.99889, 13.80000,10.99996,0.00000,10.99996,   0.000,  0.000,  0.000,  0.000,  0,  -341996.0,   0.05000, 0, 
unit_sim,      5192.806, 0,  360000, 0, 24.97736,24.99719, 13.80000,11.00002,0.00000,11.00002,   0.000,  0.000,  0.000,  0.000,  0,  -341989.9,   0.05000, 0, 
unit_sim,      5192.906, 0,  360000, 0, 24.97972,24.99549, 13.80000,11.00005,0.00000,11.00005,   0.000,  0.000,  0.000,  0.000,  0,  -341983.8,   0.05000, 0, 
