unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  Vb,  Ib,   Ib_charge, ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro_20221028, 2022-11-22T10:21:46,  62558646.759, 0.100,   0,  0,  0,  5,  0, 25.0,13.530,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.52954,13.52523,  -0.004301, 0.99284,0.99283,0.50000,
pro_20221028, 2022-11-22T10:21:46,  62558646.859, 0.103,   0,  0,  0,  5,  0, 25.0,13.504,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50371,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:46,  62558646.962, 0.022,   0,  0,  0,  5,  0, 25.0,13.504,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50371,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:46,  62558646.984, 0.096,   0,  0,  0,  5,  0, 25.0,13.517,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.51663,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:46,  62558647.080, 0.100,   0,  0,  0,  5,  0, 25.0,13.504,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50371,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:46,  62558647.180, 0.100,   0,  0,  0,  5,  0, 25.0,13.508,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50801,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558647.280, 0.100,   0,  0,  0,  5,  0, 25.0,13.504,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50371,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558647.380, 0.100,   0,  0,  0,  5,  0, 25.0,13.504,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50371,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558647.480, 0.100,   0,  0,  0,  5,  0, 25.0,13.512,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.51232,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558647.580, 0.100,   0,  0,  0,  5,  0, 25.0,13.512,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.51232,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558647.680, 0.100,   0,  0,  0,  5,  0, 25.0,13.504,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50371,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558647.780, 0.100,   0,  0,  0,  5,  0, 25.0,13.508,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50801,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558647.880, 0.100,   0,  0,  0,  5,  0, 25.0,13.512,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.51232,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558647.980, 0.100,   0,  0,  0,  5,  0, 25.0,13.504,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50371,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558648.080, 0.100,   0,  0,  0,  5,  0, 25.0,13.508,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50801,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:47,  62558648.180, 0.100,   0,  0,  0,  5,  0, 25.0,13.508,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.50801,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:48,  62558648.280, 0.100,   0,  0,  0,  5,  0, 25.0,13.512,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,13.51232,13.50370,   0.000008, 0.99260,0.99260,0.09000,
pro_20221028, 2022-11-22T10:21:48,  62558648.380, 0.100,   0,  0,  0,  5,  0, 25.0,12.337,     0.000,     0.000,     0.000,12.30000,    13.80000,0.00000,12.33721,13.50370,   0.000008, 0.99260,0.99260,0.09000,
