unit_m,  c_time,       chm_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,  62558646.759, 0, 0, 25.00000,25.00000, 13.80000,13.52523,0.00000,13.52523,   0.000,  0.000,  0.000,  0.000,  0,    -2579.1,   0.99284, 0, 
unit_sim,  62558646.859, 0, 0, 25.00000,25.00000, 13.80000,13.52955,0.00000,13.52955,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 1, 
unit_sim,  62558646.962, 0, 0, 25.00000,25.00000, 13.80000,13.50371,0.00000,13.50371,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558646.984, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.080, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.180, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.280, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.380, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.480, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.580, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.680, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.780, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.880, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558647.980, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558648.080, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558648.180, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558648.280, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558648.380, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
unit_sim,  62558648.480, 0, 0, 25.00000,25.00000, 13.80000,13.50370,0.00000,13.50370,   0.000,  0.000,  0.000,  0.000,  0,    -2665.2,   0.99260, 0, 
