unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230305,2023-03-05T11:38:17, -0.103,  0.103,0,0,255, 25.000, 13.152,  0.000,  0.000, 13.152, 13.850,  0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:17,  0.000,  0.103,0,0,255, 25.000, 13.152,  0.000,  0.000, 13.152, 13.850,  0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:17,  0.100,  0.100,0,0,255, 25.000, 13.152,500.000,  0.000, 13.152, 13.850,  6.906,  6.245, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:17,  0.201,  0.101,0,0,255, 25.000, 13.152,-500.000,  0.002, 13.152, 13.850, -6.894, 20.046, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:17,  0.301,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  0.454,  0.153,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  0.552,  0.098,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  0.652,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  0.752,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  0.852,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  0.952,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  1.052,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  1.152,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  1.252,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:18,  1.352,  0.100,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:19,  1.453,  0.101,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230305,2023-03-05T11:38:19,  1.552,  0.099,0,0,255, 25.000, 13.152,  0.000, -0.000, 13.152, 13.850, -0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
