unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230219, 2023-03-07T22:57:58,      5074.320, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:58,      5074.423, 0.103,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:58,      5074.523, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,   500.000,   500.000,     0.000,13.15200,    13.80000,6.90587,6.24513,13.15200,   0.000000, 0.50000,0.50000,0.50012,
pro0p_20230219, 2023-03-07T22:57:58,      5074.623, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,  -500.000,  -500.000,     0.003,13.15207,    13.80000,-6.89416,20.04616,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:58,      5074.723, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:58,      5074.823, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:58,      5074.923, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:58,      5075.023, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:58,      5075.123, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:59,      5075.223, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:59,      5075.323, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:59,      5075.423, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:59,      5075.523, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00005,13.15205,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:59,      5075.623, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00004,13.15205,13.15200,   0.000045, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:59,      5075.723, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00004,13.15205,13.15200,   0.000045, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:59,      5075.823, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00004,13.15205,13.15200,   0.000045, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:57:59,      5075.923, 0.100,   1,  405720, 0,  0,  255,  0, 25.0,13.152,     0.000,     0.000,    -0.000,13.15200,    13.80000,-0.00004,13.15205,13.15200,   0.000045, 0.50000,0.50000,0.50000,
