unit_m,  c_time,       chm_s,  Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,        85.106, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        85.306, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        85.506, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        85.706, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        85.906, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        86.106, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        86.306, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        86.506, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        86.706, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        86.906, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        87.106, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        87.306, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        87.506, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        87.706, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        87.906, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        88.106, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        88.306, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        88.506, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        88.706, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        88.906, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        89.106, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        89.306, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        89.506, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        89.706, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        89.906, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        90.106, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        90.306, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,  0.000,-16.216,  1,        0.0,   1.00000, 0, 
unit_sim,        90.506, 0, 25.00000,25.00000, 13.80000,14.50000,0.00000,14.30000,   0.000,-25.132,-16.216,  1,       -2.5,   0.99999, 0, 
unit_sim,        90.706, 0, 25.00000,25.00000, 13.80000,14.49674,-0.17112,14.12562, -50.260,-75.380,-16.216,  1,      -15.1,   0.99996, 0, 
unit_sim,        90.906, 0, 25.00000,25.00000, 13.80000,14.48911,-0.38830,13.90081, -100.489,-125.581,-16.217,  1,      -37.7,   0.99990, 0, 
unit_sim,        91.106, 0, 25.00000,25.00000, 13.80000,14.47714,-0.61747,13.65967, -150.654,-175.702,-16.217,  1,      -70.3,   0.99980, 0, 
unit_sim,        91.306, 0, 25.00000,25.00000, 13.80000,14.46083,-0.85001,13.41082, -200.723,-225.713,-16.218,  1,     -113.0,   0.99969, 0, 
unit_sim,        91.506, 0, 25.00000,25.00000, 13.80000,14.44018,-1.08364,13.15655, -250.666,-275.581,-16.219,  1,     -165.6,   0.99954, 0, 
unit_sim,        91.706, 0, 25.00000,25.00000, 13.80000,14.41523,-1.31768,12.89754, -300.451,-325.274,-16.221,  1,     -228.2,   0.99937, 0, 
unit_sim,        91.906, 0, 25.00000,25.00000, 13.80000,14.38597,-1.55186,12.63411, -350.046,-374.763,-16.222,  1,     -300.6,   0.99916, 0, 
unit_sim,        92.106, 0, 25.00000,25.00000, 13.80000,14.35242,-1.78599,12.36643, -399.420,-424.014,-16.224,  1,     -383.0,   0.99894, 0, 
unit_sim,        92.306, 0, 25.00000,25.00000, 13.80000,14.31460,-2.01990,12.09470, -448.542,-472.998,-16.226,  1,     -475.1,   0.99868, 0, 
unit_sim,        92.506, 0, 25.00000,25.00000, 13.80000,14.27255,-2.25346,11.81909, -497.380,-521.683,-16.228,  1,     -577.0,   0.99840, 0, 
unit_sim,        92.706, 0, 25.00000,25.00000, 13.80000,14.22629,-2.48650,11.53979, -545.904,-570.039,-16.230,  1,     -688.6,   0.99809, 0, 
unit_sim,        92.906, 0, 25.00000,25.00000, 13.80000,14.17584,-2.71889,11.25695, -594.083,-618.034,-16.233,  1,     -809.9,   0.99775, 0, 
unit_sim,        93.106, 0, 25.00000,25.00000, 13.80000,14.12125,-2.95046,10.97079, -641.887,-665.639,-16.235,  1,     -940.6,   0.99739, 0, 
unit_sim,        93.306, 0, 25.00000,25.00000, 13.80000,14.06253,-3.18107,10.68146, -689.286,-712.824,-16.238,  1,    -1080.8,   0.99700, 0, 
unit_sim,        93.506, 0, 25.00000,25.00000, 13.80000,13.99974,-3.41058,10.38916, -736.249,-759.558,-16.242,  1,    -1230.4,   0.99658, 0, 
unit_sim,        93.706, 0, 25.00000,25.00000, 13.80000,13.93291,-3.63883,10.09408, -782.747,-805.813,-16.245,  1,    -1389.3,   0.99614, 0, 
unit_sim,        93.906, 0, 25.00000,25.00000, 13.80000,13.86208,-3.86569,9.79639, -828.751,-851.559,-16.249,  1,    -1557.3,   0.99567, 0, 
unit_sim,        94.106, 0, 25.00000,25.00000, 13.80000,13.78729,-4.09100,9.49630, -874.232,-896.766,-16.252,  0,    -1734.4,   0.99518, 0, 
unit_sim,        94.306, 0, 25.00000,25.00000, 13.80000,13.71342,-4.31462,9.19373, -919.160,-941.408,-16.339,  0,    -1920.4,   0.99467, 0, 
