unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20221220, 2022-12-21T12:32:17,        35.032, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:17,        35.135, 0.103,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:17,        35.235, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:17,        35.335, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:17,        35.435, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:17,        35.535, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        35.635, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        35.735, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        35.835, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        35.971, 0.136,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        36.071, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        36.171, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        36.271, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        36.371, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        36.471, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:18,        36.571, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:19,        36.671, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:19,        36.771, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:19,        36.871, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:19,        36.971, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
pro0p_20221220, 2022-12-21T12:32:19,        37.071, 0.100,   0,  1,  0,  15,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49995,   0.000047, 1.00000,1.00000,1.00000,
