unit_m,  c_time,       chm_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,        31.825, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        31.928, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.028, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.128, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.228, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.328, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.428, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.528, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.628, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.728, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.829, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        32.928, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.028, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.128, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.228, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.328, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.428, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.528, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.628, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.728, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.828, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        33.928, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.028, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.128, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.228, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.328, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.429, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.528, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.628, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.728, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.828, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        34.928, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.028, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.128, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.228, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.328, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.428, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.528, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.628, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.728, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.828, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        35.928, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.028, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.128, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.228, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.328, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.428, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.528, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.628, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.728, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.828, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        36.928, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        37.028, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        37.128, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        37.228, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,  0.000,  0.000,-75.000,  1,        0.0,   1.00000, 0, 
unit_sim,        37.328, 1, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.40000,   0.000,-12.566,-12.566,-75.000,  1,       -1.3,   1.00000, 0, 
unit_sim,        37.428, 1, 0, 25.00000,25.00000, 13.80000,14.69960,-0.17356,14.22604, -12.566,-25.130,-25.130,-75.000,  1,       -3.8,   0.99999, 0, 
unit_sim,        37.528, 1, 0, 25.00000,25.00000, 13.80000,14.69880,-0.34738,14.05142, -25.130,-37.690,-37.690,-75.000,  1,       -7.5,   0.99998, 0, 
unit_sim,        37.629, 1, 0, 25.00000,25.00000, 13.80000,14.69760,-0.52145,13.87615, -37.690,-50.244,-50.244,-75.000,  1,      -12.6,   0.99997, 0, 
unit_sim,        37.729, 1, 0, 25.00000,25.00000, 13.80000,14.69601,-0.69573,13.70028, -50.244,-62.916,-62.916,-75.000,  1,      -18.9,   0.99995, 0, 
unit_sim,        37.829, 1, 0, 25.00000,25.00000, 13.80000,14.69399,-0.87192,13.52207, -62.916,-75.452,-75.452,-75.000,  1,      -26.5,   0.99993, 0, 
unit_sim,        37.929, 1, 0, 25.00000,25.00000, 13.80000,14.69160,-1.04653,13.34507, -75.452,-87.976,-87.976,-75.000,  1,      -35.3,   0.99991, 0, 
