unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230219, 2023-02-19T17:53:31,        43.076, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:31,        43.179, 0.103,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:31,        43.279, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:32,        43.379, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:32,        43.479, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:32,        43.579, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:32,        43.679, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:32,        43.779, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:32,        43.879, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-02-19T17:53:32,        43.979, 0.100,   1,  1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
