fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_min, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-03-18T14:34:42, 1679150082,   0.000,  14.199,   0.000,   0.000,  25.000,  14.199,   0.000,  1.0000,  0.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-03-18T14:34:51, 1679150091,   0.000,  14.199,   0.000,   0.000,  25.000,  14.199,   0.000,  1.0000,  0.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-03-18T14:35:01, 1679150101,   0.000,  14.199,   0.000,   0.000,  25.000,  14.199,   0.000,  1.0000,  0.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-03-18T14:35:10, 1679150110,   0.000,  14.199,   0.000,   0.000,  25.000,  14.199,   0.000,  1.0000,  0.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-03-18T14:35:20, 1679150120,   0.000,  14.199,   0.000,   0.000,  25.000,  14.199,   0.000,  1.0000,  0.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-03-18T14:35:29, 1679150129,   0.000,  14.199,   0.000,   0.000,  25.000,  14.199,   0.000,  1.0000,  0.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-03-18T14:35:39, 1679150139,   0.000,  14.199,   0.000,   0.000,  25.000,  14.199,   0.000,  1.0000,  0.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-03-18T14:37:25, 1679150245,   0.000, -23.711, -11.467, -11.467,  25.000, -23.711, -11.467,  0.9841,  0.0250,  0.9801,  13.651,  13.451,  -0.058, 0, 0,
unit_f, 2023-03-18T14:37:35, 1679150255,   0.000,   5.269,  -6.810,  -6.810,  25.000,   5.269,  -6.810,  0.9964,  0.0250,  0.9982,  13.942,  14.083,  -0.069, 0, 0,
unit_f, 2023-03-18T14:37:44, 1679150264,   0.000,  -9.681, -27.107, -27.107,  25.000,  -9.681, -27.107,  0.9521,  0.0250,  0.9567,  12.945,  13.245,  -0.083, 0, 0,
unit_f, 2023-03-18T14:37:53, 1679150273,   0.000,   7.418, -20.203, -20.203,  25.000,   7.418, -20.203,  0.9125,  0.0250,  0.9117,  12.678,  12.978,   0.193, 0, 0,
unit_f, 2023-03-18T14:38:03, 1679150283,   0.000, -21.969, -36.467, -36.467,  25.000, -21.969, -36.467,  0.9323,  0.0250,  0.9262,  13.305,  13.105,   0.217, 0, 0,
unit_f, 2023-03-18T14:38:12, 1679150292,   0.000, -23.767, -16.552, -16.552,  25.000, -23.767, -16.552,  0.9841,  0.0250,  0.9801,  13.650,  13.450,  -0.058, 0, 0,
unit_f, 2023-03-18T14:38:21, 1679150301,   0.000,  14.233,   0.000,   0.000,  25.000,  14.233,   0.000,  0.9996,  0.0250,  0.9982,  14.137,  13.959,   0.152, 0, 0,
