fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, Voc_stat, e_w_f, fltw, falw,
unit_f, 2022-11-21T09:38:29, 1669023509,   0.000,  20.393,  39.760,  39.760,  40.000,  20.393,  39.760,  0.9895,  0.9888,  13.424,  13.271,  -0.044, 12, 12,
unit_f, 2022-11-21T09:38:39, 1669023519,   0.000,   9.800, -24.422, -24.422,  40.000,   9.800, -24.422,  0.9946,  0.9939,  13.610,  13.520,   0.163, 12, 12,
unit_f, 2022-11-21T09:38:49, 1669023529,   0.000,   3.062,  17.083,  17.083,  40.000,   3.062,  17.083,  0.9529,  0.9459,  12.871,  13.190,   0.027, 12, 12,
unit_f, 2022-11-21T09:38:59, 1669023539,   0.000,  10.177, -41.178, -41.178,  40.000,  10.177, -41.178,  0.9230,  0.9110,  12.746,  13.077,   0.102, 12, 12,
unit_f, 2022-11-21T09:39:09, 1669023549,   0.000,  20.905,   2.790,   2.790,  40.000,  20.905,   2.790,  0.9469,  0.9375,  13.082,  13.132,   0.083, 12, 12,
unit_f, 2022-11-21T09:39:19, 1669023559,   0.000,  20.337,  53.695,  53.695,  40.000,  20.337,  53.695,  0.9910,  0.9889,  13.502,  13.349,  -0.052, 12, 12,
unit_f, 2022-11-21T09:39:29, 1669023569,   0.000,  15.404,   0.000,   0.000,  40.000,  15.404,   0.000,  0.9996,  0.9981,  14.247,  14.099,   0.301, 0, 12,
unit_f, 2022-11-21T09:38:29, 1669023509,   0.000,  20.393,  39.760,  39.760,  40.000,  20.393,  39.760,  0.9895,  0.9888,  13.424,  13.271,  -0.044, 12, 12,
unit_f, 2022-11-21T09:38:39, 1669023519,   0.000,   9.800, -24.422, -24.422,  40.000,   9.800, -24.422,  0.9946,  0.9939,  13.610,  13.520,   0.163, 12, 12,
unit_f, 2022-11-21T09:38:49, 1669023529,   0.000,   3.062,  17.083,  17.083,  40.000,   3.062,  17.083,  0.9529,  0.9459,  12.871,  13.190,   0.027, 12, 12,
unit_f, 2022-11-21T09:38:59, 1669023539,   0.000,  10.177, -41.178, -41.178,  40.000,  10.177, -41.178,  0.9230,  0.9110,  12.746,  13.077,   0.102, 12, 12,
unit_f, 2022-11-21T09:39:09, 1669023549,   0.000,  20.905,   2.790,   2.790,  40.000,  20.905,   2.790,  0.9469,  0.9375,  13.082,  13.132,   0.083, 12, 12,
unit_f, 2022-11-21T09:39:19, 1669023559,   0.000,  20.337,  53.695,  53.695,  40.000,  20.337,  53.695,  0.9910,  0.9889,  13.502,  13.349,  -0.052, 12, 12,
unit_f, 2022-11-21T09:39:29, 1669023569,   0.000,  15.404,   0.000,   0.000,  40.000,  15.404,   0.000,  0.9996,  0.9981,  14.247,  14.099,   0.301, 0, 12,
