unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230219, 2023-03-06T10:43:40,        97.352, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:40,        97.455, 0.103,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:40,        97.555, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:40,        97.655, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:40,        97.755, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:40,        97.855, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:40,        97.955, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:40,        98.055, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:40,        98.155, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230219, 2023-03-06T10:43:41,        98.255, 0.100,   1,  405720, 1,  0,  255,  0, 40.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.86000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
