fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, Voc_stat, e_w_f, fltw, falw,
unit_f, 2022-11-21T10:05:15, 1669025115,   0.000,  14.440,  11.368,  11.368,  25.000,  14.440,  11.368,  1.0000,  0.9999,  14.297,  14.497,   0.013, 0, 0,
unit_f, 2022-11-21T10:05:26, 1669025126,   0.000,  14.482,   9.678,   9.678,  25.000,  14.482,   9.678,  1.0000,  1.0000,  14.348,  14.547,  -0.038, 0, 0,
unit_f, 2022-11-21T10:05:36, 1669025136,   0.000,  14.513,   7.832,   7.832,  25.000,  14.513,   7.832,  1.0000,  1.0000,  14.390,  14.590,  -0.083, 0, 0,
unit_f, 2022-11-21T10:05:46, 1669025146,   0.000,  14.534,   5.858,   5.858,  25.000,  14.534,   5.858,  1.0000,  1.0000,  14.424,  14.624,  -0.118, 0, 0,
unit_f, 2022-11-21T10:05:56, 1669025156,   0.000,  14.543,   3.792,   3.792,  25.000,  14.543,   3.792,  1.0000,  1.0000,  14.448,  14.648,  -0.144, 0, 0,
unit_f, 2022-11-21T10:06:06, 1669025166,   0.000,  14.542,   1.663,   1.663,  25.000,  14.542,   1.663,  1.0000,  1.0000,  14.463,  14.662,  -0.161, 0, 0,
unit_f, 2022-11-21T10:06:16, 1669025176,   0.000,  14.362,   0.000,   0.000,  25.000,  14.362,   0.000,  1.0000,  0.9999,  14.297,  14.498,  -0.016, 0, 0,
unit_f, 2022-11-21T10:05:15, 1669025115,   0.000,  14.440,  11.368,  11.368,  25.000,  14.440,  11.368,  1.0000,  0.9999,  14.297,  14.497,   0.013, 0, 0,
unit_f, 2022-11-21T10:05:26, 1669025126,   0.000,  14.482,   9.678,   9.678,  25.000,  14.482,   9.678,  1.0000,  1.0000,  14.348,  14.547,  -0.038, 0, 0,
unit_f, 2022-11-21T10:05:36, 1669025136,   0.000,  14.513,   7.832,   7.832,  25.000,  14.513,   7.832,  1.0000,  1.0000,  14.390,  14.590,  -0.083, 0, 0,
unit_f, 2022-11-21T10:05:46, 1669025146,   0.000,  14.534,   5.858,   5.858,  25.000,  14.534,   5.858,  1.0000,  1.0000,  14.424,  14.624,  -0.118, 0, 0,
unit_f, 2022-11-21T10:05:56, 1669025156,   0.000,  14.543,   3.792,   3.792,  25.000,  14.543,   3.792,  1.0000,  1.0000,  14.448,  14.648,  -0.144, 0, 0,
unit_f, 2022-11-21T10:06:06, 1669025166,   0.000,  14.542,   1.663,   1.663,  25.000,  14.542,   1.663,  1.0000,  1.0000,  14.463,  14.662,  -0.161, 0, 0,
unit_f, 2022-11-21T10:06:16, 1669025176,   0.000,  14.362,   0.000,   0.000,  25.000,  14.362,   0.000,  1.0000,  0.9999,  14.297,  14.498,  -0.016, 0, 0,
