fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, Voc_stat, e_w_f, fltw, falw,
unit_f, 2022-11-21T10:15:12, 1669025712,   0.000,  14.204,  51.913,  51.913,  25.000,  14.204,  51.913,  0.9839,  0.9843,  13.183,  13.268,   0.001, 0, 0,
unit_f, 2022-11-21T10:15:22, 1669025722,   0.000,  14.316,  42.563,  42.563,  25.000,  14.316,  42.563,  0.9882,  0.9887,  13.231,  13.269,   0.000, 0, 0,
unit_f, 2022-11-21T10:15:32, 1669025732,   0.000,  14.555,  23.485,  23.485,  25.000,  14.555,  23.485,  0.9922,  0.9921,  13.472,  13.469,   0.004, 0, 0,
unit_f, 2022-11-21T10:15:42, 1669025742,   0.000,  14.855,  -4.097,  -4.097,  25.000,  14.855,  -4.097,  0.9956,  0.9954,  13.846,  13.810,   0.006, 0, 0,
unit_f, 2022-11-21T10:15:52, 1669025752,   0.000,  15.126, -38.418, -38.418,  25.000,  15.126, -38.418,  0.9981,  0.9979,  14.258,  14.199,   0.007, 0, 0,
unit_f, 2022-11-21T10:16:02, 1669025762,   0.000,  15.170,  31.953,  31.953,  25.000,  15.170,  31.953,  1.0000,  1.0000,  14.498,  14.698,  -0.163, 0, 0,
unit_f, 2022-11-21T10:16:12, 1669025772,   0.000,  14.756,   0.000,   0.000,  25.000,  14.756,   0.000,  1.0000,  0.9999,  14.283,  14.483,  -0.072, 0, 0,
unit_f, 2022-11-21T10:15:12, 1669025712,   0.000,  14.204,  51.913,  51.913,  25.000,  14.204,  51.913,  0.9839,  0.9843,  13.183,  13.268,   0.001, 0, 0,
unit_f, 2022-11-21T10:15:22, 1669025722,   0.000,  14.316,  42.563,  42.563,  25.000,  14.316,  42.563,  0.9882,  0.9887,  13.231,  13.269,   0.000, 0, 0,
unit_f, 2022-11-21T10:15:32, 1669025732,   0.000,  14.555,  23.485,  23.485,  25.000,  14.555,  23.485,  0.9922,  0.9921,  13.472,  13.469,   0.004, 0, 0,
unit_f, 2022-11-21T10:15:42, 1669025742,   0.000,  14.855,  -4.097,  -4.097,  25.000,  14.855,  -4.097,  0.9956,  0.9954,  13.846,  13.810,   0.006, 0, 0,
unit_f, 2022-11-21T10:15:52, 1669025752,   0.000,  15.126, -38.418, -38.418,  25.000,  15.126, -38.418,  0.9981,  0.9979,  14.258,  14.199,   0.007, 0, 0,
unit_f, 2022-11-21T10:16:02, 1669025762,   0.000,  15.170,  31.953,  31.953,  25.000,  15.170,  31.953,  1.0000,  1.0000,  14.498,  14.698,  -0.163, 0, 0,
unit_f, 2022-11-21T10:16:12, 1669025772,   0.000,  14.756,   0.000,   0.000,  25.000,  14.756,   0.000,  1.0000,  0.9999,  14.283,  14.483,  -0.072, 0, 0,
