fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-03-24T02:08:05, 1679623685,   9.062,  14.445,   1.088,   0.067,   9.062,  14.445,   1.088,  1.0000,  1.0000,  14.449,  14.749,  -0.282, 0, 0,
unit_f, 2023-03-24T02:08:15, 1679623695,   9.062,  14.463,   0.967,  -0.048,   9.062,  14.463,   0.967,  1.0000,  1.0000,  14.447,  14.747,  -0.285, 0, 0,
unit_f, 2023-03-24T02:08:24, 1679623704,   9.062,  14.449,   0.662,   0.240,   9.062,  14.449,   0.662,  1.0000,  1.0000,  14.367,  14.667,  -0.278, 0, 0,
unit_f, 2023-03-24T02:08:34, 1679623714,   9.062,  14.471,   0.297,  -0.163,   9.062,  14.471,   0.297,  1.0000,  1.0000,  14.464,  14.764,  -0.302, 0, 0,
unit_f, 2023-03-24T02:08:43, 1679623723,   9.062,  14.467,   0.785,   0.008,   9.062,  14.467,   0.785,  1.0000,  1.0000,  14.488,  14.787,  -0.304, 0, 0,
unit_f, 2023-03-24T02:08:53, 1679623733,   9.062,  14.463,   0.357,  -0.625,   9.062,  14.463,   0.357,  1.0000,  1.0000,  14.447,  14.748,  -0.308, 1024, 0,
unit_f, 2023-03-24T02:09:02, 1679623742,   9.062,  14.467,   0.907,  -0.222,   9.062,  14.467,   0.907,  1.0000,  1.0000,  14.471,  14.771,  -0.306, 0, 0,
unit_f, 2023-03-24T03:49:15, 1679629755,  11.250,  13.243,  -0.800,  -1.955,  11.250,  13.243,  -0.800,  0.8356,  0.9906,  13.233,  13.239,  -0.093, 0, 0,
unit_f, 2023-03-24T03:49:24, 1679629764,  11.250,  13.278,  -0.982,  -1.608,  11.250,  13.278,  -0.982,  0.8356,  0.9905,  13.272,  13.277,  -0.090, 1024, 0,
unit_f, 2023-03-24T03:49:34, 1679629774,  11.250,  13.283,  -0.922,  -1.550,  11.250,  13.283,  -0.922,  0.8355,  0.9904,  13.266,  13.272,  -0.090, 0, 0,
unit_f, 2023-03-24T03:49:43, 1679629783,  11.250,  13.248,  -1.043,  -1.550,  11.250,  13.248,  -1.043,  0.8355,  0.9905,  13.303,  13.308,  -0.095, 0, 0,
unit_f, 2023-03-24T03:49:52, 1679629792,  11.250,  13.243,  -1.408,  -1.723,  11.250,  13.243,  -1.408,  0.8354,  0.9905,  13.273,  13.279,  -0.089, 0, 0,
unit_f, 2023-03-24T03:50:02, 1679629802,  11.250,  13.291,  -0.495,  -1.435,  11.250,  13.291,  -0.495,  0.8354,  0.9908,  13.288,  13.294,  -0.105, 0, 0,
unit_f, 2023-03-24T03:50:11, 1679629811,  11.250,  13.269,  -0.922,  -1.203,  11.250,  13.269,  -0.922,  0.8354,  0.9907,  13.307,  13.312,  -0.109, 0, 0,
