unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  Vb,  Ib,  ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep221121,2022-11-21T09:33:23,  0.000,  0.159,0,0,6, 15.000, 13.337,  0.000, -0.018, 13.137, 13.760,  0.000, 13.337, 13.106,  0.231,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:23,  0.159,  0.159,0,0,6, 15.000, 13.337,  0.000, -0.006, 13.137, 13.760,  0.000, 13.337, 13.106,  0.231,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:23,  0.262,  0.103,0,0,6, 15.000, 13.337,  0.000,  0.001, 13.137, 13.760,  0.000, 13.337, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:23,  0.362,  0.100,0,0,6, 15.000, 13.337,  0.000,  0.009, 13.137, 13.760,  0.000, 13.337, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:23,  0.462,  0.100,0,0,6, 15.000, 13.337,  0.000,  0.016, 13.137, 13.760,  0.000, 13.337, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  0.611,  0.149,0,0,6, 15.000, 13.337,  0.000,  0.028, 13.137, 13.760,  0.000, 13.337, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  0.709,  0.098,0,0,6, 15.000, 13.337,  0.000,  0.036, 13.137, 13.760,  0.000, 13.337, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  0.809,  0.100,0,0,6, 15.000, 13.337,  0.000,  0.043, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  0.909,  0.100,0,0,6, 15.000, 13.337,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  1.009,  0.100,0,0,6, 15.000, 13.337,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  1.109,  0.100,0,0,6, 15.000, 13.337,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  1.209,  0.100,0,0,6, 15.000, 13.337,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  1.309,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  1.409,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:24,  1.509,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  1.609,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  1.709,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  1.810,  0.101,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  1.909,  0.099,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  2.009,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  2.109,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  2.209,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  2.309,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  2.409,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:25,  2.509,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.336, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  2.609,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.335, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  2.709,  0.100,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.335, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  2.810,  0.101,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.335, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  2.909,  0.099,0,0,6, 15.000, 13.336,  0.000,  0.051, 13.137, 13.760,  0.000, 13.335, 13.106,  0.230,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  3.010,  0.101,0,0,6, 15.000, 13.336,  0.000,  0.050, 13.137, 13.760,  0.000, 13.335, 13.106,  0.229,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  3.109,  0.099,0,0,6, 15.000, 13.336,  0.000,  0.050, 13.137, 13.760,  0.000, 13.335, 13.106,  0.229,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  3.209,  0.100,0,0,6, 15.000, 13.335,  0.000,  0.050, 13.137, 13.760,  0.000, 13.335, 13.106,  0.229,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  3.309,  0.100,0,0,6, 15.000, 13.335,  0.000,  0.050, 13.137, 13.760,  0.000, 13.335, 13.106,  0.229,  0.722,  0.667,  0.722,
mon_rep221121,2022-11-21T09:33:26,  3.409,  0.100,0,0,6, 15.000, 13.335,  0.000,  0.050, 13.137, 13.760,  0.000, 13.335, 13.106,  0.229,  0.722,  0.667,  0.722,
