fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_min, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-12-03T21:34:34, 1701639274,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:44, 1701639284,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:54, 1701639294,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:04, 1701639304,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:14, 1701639314,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:24, 1701639324,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:35, 1701639335,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:34, 1701639274,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:44, 1701639284,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:54, 1701639294,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:04, 1701639304,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:14, 1701639314,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:24, 1701639324,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:35, 1701639335,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:34, 1701639274,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:44, 1701639284,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:54, 1701639294,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:04, 1701639304,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:14, 1701639314,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:24, 1701639324,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:35, 1701639335,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:34, 1701639274,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:44, 1701639284,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:34:54, 1701639294,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:04, 1701639304,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:14, 1701639314,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:24, 1701639324,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
unit_f, 2023-12-03T21:35:35, 1701639335,  21.377,  13.380,   0.000,   0.000,  25.000,  13.380,   0.000,  0.5000,  0.0250,  0.4999,  13.380,  13.380,   0.000, 0, 0,
