fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-03-03T09:58:55, 1677837535,   0.000,  13.298,   0.000,   0.000,  25.000,  13.298,   0.000,  0.8999,  0.8999,  13.298,  13.298,   0.000, 0, 0,
unit_f, 2023-03-03T09:59:05, 1677837545,   0.000,  13.298,   0.000,   0.000,  25.000,  13.298,   0.000,  0.8999,  0.8999,  13.298,  13.298,   0.000, 0, 0,
unit_f, 2023-03-03T09:59:15, 1677837555,   0.000,  13.298,   0.000,   0.000,  25.000,  13.298,   0.000,  0.8999,  0.8999,  13.298,  13.298,   0.000, 0, 0,
unit_f, 2023-03-03T09:59:26, 1677837566,   0.000,  13.298,   0.000,   0.000,  25.000,  13.298,   0.000,  0.8999,  0.8999,  13.298,  13.298,   0.000, 0, 0,
unit_f, 2023-03-03T09:59:36, 1677837576,   0.000,  13.298,   0.000,   0.000,  25.000,  13.298,   0.000,  0.8999,  0.8999,  13.298,  13.298,   0.000, 0, 0,
unit_f, 2023-03-03T09:59:46, 1677837586,   0.000,  13.298,   0.000,   0.000,  25.000,  13.298,   0.000,  0.8999,  0.8999,  13.298,  13.298,   0.000, 0, 0,
unit_f, 2023-03-03T09:59:56, 1677837596,   0.000,  13.298,   0.000,   0.000,  25.000,  13.298,   0.000,  0.8999,  0.8999,  13.298,  13.298,   0.000, 0, 0,
unit_f, 2023-03-03T10:01:42, 1677837702,  18.625,  -4.897,   6.333,   7.388,  25.000,  -4.897,   7.473,  1.0000,  0.8843,  14.984,  15.044,   0.963, 0, 0,
unit_f, 2023-03-03T10:01:52, 1677837712,  18.625,  -3.325,   1.490,   2.767,  25.000,  -3.325,   2.763,  0.9981,  1.0000,  15.840,  15.900,  -0.777, 0, 0,
unit_f, 2023-03-03T10:02:02, 1677837722,  18.625,  -5.990, -10.802,  -9.523,  25.000,  -5.990,  -9.527,  0.8159,  0.7858,  14.855,  14.915,  -1.552, 0, 0,
unit_f, 2023-03-03T10:02:12, 1677837732,  18.625,   6.845,  11.748,  13.113,  25.000,   6.845,  13.020,  0.5649,  0.5056,  11.497,  11.557,   1.274, 0, 0,
unit_f, 2023-03-03T10:02:22, 1677837742,  18.625,   8.952,  24.405,  25.313,  25.000,   8.952,  25.310,  1.0000,  0.5546,  11.656,  11.716,   2.724, 0, 0,
unit_f, 2023-03-03T10:02:32, 1677837752,  18.625, -11.425, -29.817, -28.718,  25.000, -11.425, -28.812,  1.0000,  0.8814,  14.986,  15.046,   0.839, 0, 0,
unit_f, 2023-03-03T10:02:43, 1677837763,  18.625,  14.855,  -0.938,   0.003,  25.000,  14.855,   0.000,  1.0000,  0.9984,  14.242,  14.302,  -0.231, 0, 0,
