unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro1a_20230219, 1970-01-01T00:35:54,       900.348, 0.184,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:54,       900.453, 0.105,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:54,       900.553, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:54,       900.653, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:54,       900.753, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:54,       900.853, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:54,       900.953, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:54,       901.053, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:55,       901.153, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:55,       901.253, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:55,       901.353, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:55,       901.453, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T00:35:55,       901.553, 0.100,   0,  360000, 1,  0,  15,  0, 25.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.80000,0.00000,14.50000,14.49996,   0.000037, 1.00000,1.00000,1.00000,
