unit_s,c_time,res,user_sel,   cc_dif,  ibmh,ibnh,ibmm,ibnm,ibm,   ib_diff, ib_diff_f,    voc_soc,e_w,e_w_f,  ib_sel_stat,ib_h,ib_s,mib,ib, vb_sel,vb_h,vb_s,mvb,vb,  Tb_h,Tb_s,mtb,Tb_f,   fltw, falw, ib_rate, ib_quiet, tb_sel, ccd_thr, ewh_thr, ewl_thr, ibd_thr, ibq_thr, preserving,
unit_sel,      900.348, 0, 0,  -0.0000001,  0.44046,0.55894,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.44046,0.00000, 1, 0.00000,  1, 11.05368,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,  -0.006,   0.030, 1, 200.000,393.600,-393.600, 10.000,  0.005,0,
unit_sel,      900.453, 0, 0,  -0.0000001,  0.79771,0.26422,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.79771,0.00000, 1, 0.00000,  1, 11.05793,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,  -0.087,   0.025, 1, 200.000,393.600,-393.600, 10.000,  0.005,0,
unit_sel,      900.553, 0, 0,  -0.0000001,  0.67862,0.20529,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.67862,0.00000, 1, 0.00000,  1, 11.04943,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,  -0.178,   0.020, 1, 200.000,393.600,-393.600, 10.000,  0.005,0,
unit_sel,      900.653, 0, 0,  -0.0000001,  0.20229,0.67683,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.20229,0.00000, 1, 0.00000,  1, 11.05793,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,  -0.305,   0.012, 1, 200.000,393.600,-393.600, 10.000,  0.005,0,
unit_sel,      900.753, 0, 0,  -0.0000001,  0.67862,0.55894,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.67862,0.00000, 1, 0.00000,  1, 11.06644,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,   0.082,   0.006, 1, 200.000,393600.000,-393.600, 10.000,  0.005,0,
unit_sel,      900.853, 0, 0,  -0.0000001,  0.85724,0.55894,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.85724,0.00000, 1, 0.00000,  1, 11.06644,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,   0.548,   0.006, 1, 200.000,393600.000,-393600.000, 10.000,  0.005,0,
unit_sel,      900.953, 0, 0,  -0.0000001,  0.55954,0.73578,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.55954,0.00000, 1, 0.00000,  1, 11.04943,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,   0.492,   0.011, 1, 200000.000,393600.000,-393600.000, 10.000,  0.005,0,
unit_sel,      901.053, 0, 0,  -0.0000001,  0.14276,0.55894,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.14276,0.00000, 1, 0.00000,  1, 11.04092,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,  -0.259,   0.014, 1, 200000.000,393600.000,-393600.000,10000.000,  0.005,0,
unit_sel,      901.153, 0, 0,  -0.0000001,  0.85725,0.26423,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.85725,0.00000, 1, 0.00000,  1, 11.04517,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,  -0.339,   0.012, 1, 200000.000,393600.000,-393600.000,10000.000,  0.005,0,
unit_sel,      901.253, 0, 0,  -0.0000001,  0.73817,0.73578,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.50000,0.00000,0.00000,  1, 0.73817,0.00000, 1, 0.00000,  1, 11.04943,14.20000, 1, 14.20000,   0.00,25.00, 1, 25.00, 0, 0,   0.420,   0.012, 1, 200000.000,393600.000,-393600.000,10000.000,  0.005,0,
