unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  Vb,  Ib,   Ib_charge, ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
soc0_20221028, 2022-11-27T15:46:42,  63009779.674, 0.099,   0,  1,  1,  0,  0, 10.4,14.404,     0.332,     0.332,   -16.216,14.45881,    13.74150,0.00385,14.59972,14.45881,   0.145442, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:42,  63009779.773, 0.100,   0,  1,  1,  0,  0, 10.4,14.408,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00367,14.60421,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:42,  63009779.873, 0.100,   0,  1,  1,  0,  0, 10.4,14.395,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00362,14.59134,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:42,  63009779.973, 0.101,   0,  1,  1,  0,  0, 10.4,14.386,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00360,14.58275,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:42,  63009780.074, 0.099,   0,  1,  1,  0,  0, 10.4,14.378,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00359,14.57415,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:42,  63009780.173, 0.101,   0,  1,  1,  0,  0, 10.4,14.378,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00358,14.57415,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009780.274, 0.100,   0,  1,  1,  0,  0, 10.4,14.395,     0.198,     0.198,   -16.216,14.45881,    13.74150,0.00338,14.59158,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009780.374, 0.099,   0,  1,  1,  0,  0, 10.4,14.412,     0.198,     0.198,   -16.216,14.45881,    13.74150,0.00332,14.60886,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009780.473, 0.100,   0,  1,  1,  0,  0, 10.4,14.399,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00349,14.59577,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009780.573, 0.101,   0,  1,  1,  0,  0, 10.4,14.386,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00353,14.58281,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009780.674, 0.100,   0,  1,  1,  0,  0, 10.4,14.382,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00355,14.57849,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009780.774, 0.100,   0,  1,  1,  0,  0, 10.4,14.382,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00356,14.57848,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009780.874, 0.100,   0,  1,  1,  0,  0, 10.4,14.395,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00357,14.59139,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009780.974, 0.100,   0,  1,  1,  0,  0, 10.4,14.395,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00357,14.59139,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009781.074, 0.099,   0,  1,  1,  0,  0, 10.4,14.404,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00357,14.60000,14.45881,   0.145397, 1.00000,1.00000,1.00000,
soc0_20221028, 2022-11-27T15:46:43,  63009781.173, 0.101,   0,  1,  1,  0,  0, 10.4,14.395,     0.265,     0.265,   -16.216,14.45881,    13.74150,0.00357,14.59139,14.45881,   0.145397, 1.00000,1.00000,1.00000,
