soc=  1.000, modeling = 7, delta_q=  0.000, soc_model=  1.0000,   delta_q_model=  0.000, soc_ekf=  1.0000, delta_q_ekf=  0.000,
soft reset...
ReadSensors from 100 to 100
100
modeling from 7 to 7
Modeling is 7
tweak_test is 0
mod_ib is 1
mod_vb is 1
mod_tb is 1
Small reset. Filters reinit
soft reset...
ShuntAmp.add from -500.000 to -500.000
ShuntNoAmp.add from   0.001 to   0.001
unit_sel, 52587490.332, 0, 0,    0, 0,      -0.000086, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.13088, 1, 10.13088,    0.00,25.00, 1, 25.00, 
unit,               hm,                  cTime,       dt,       sat,sel,mod,  Tb,  Vb,  Ib,        Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_m,soc_ekf,soc,,
unit_sel,c_time,res,user_sel,   m_bare,n_bare,  cc_dif,cc_flt,  ibmh,ibnh,ibmm,ibnm,ibm,                     ib_dif,ib_dif_flt,ib_dif_fa,  ib_sel,Ib_h,Ib_m,mib,Ib,            Vb_h,Vb_m,mvb,Vb,                  Tb_h,Tb,mtb,Tb_f,
pro_20220723, 2022-07-30T08:08:04,  52587490.332, 0.100,   1,  0,  7,  25.00,10.13088,-500.00000,    13.80000,-6.15000,16.28110,14.49837,   1.782737, 1.00000,0.99978,0.99986,
unit_sel, 52587490.432, 0, 0,    0, 0,      -0.000083, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.45204,10.41151, 1, 10.41151,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:04,  52587490.432, 0.100,   1,  0,  7,  25.00,10.41151,-500.00000,    13.80000,-6.15000,16.56188,14.47936,   2.082511, 1.00000,0.99965,0.99972,
unit_sel, 52587490.532, 0, 0,    0, 0,      -0.000077, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.55414, 1, 10.55414,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:04,  52587490.532, 0.100,   1,  0,  7,  25.00,10.55414,-500.00000,    13.80000,-6.15000,16.70464,14.46079,   2.243855, 1.00000,0.99952,0.99958,
unit_sel, 52587490.632, 0, 0,    0, 0,      -0.000067, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.62776, 1, 10.62776,    0.00,25.00, 1, 25.00, 
