t;reset;T;select;inj_bias;vs_int_a;Vshunt_a;Vc_a;Vo_a;Ib_hdwe_a;vs_int_na;Vshunt_na;Vc_na;Vo_na;Ib_hdwe_na;Ib_hdwe;T;Ib_amp_fault;Ib_amp_fail;Ib_noa_fault;Ib_noa_fail
0;0;0.02;0;0;0;0.084;1.645;1.729;6.254;0;0.089;1.638;1.727;6.525;6.254;0.02;0;0;0;0
0.02;0;0.02;0;0;0;0.084;1.63;1.714;6.255;0;0.086;1.627;1.714;6.361;6.255;0.02;0;0;0;0
0.04;0;0.02;0;0;0;0.096;1.644;1.74;7.084;0;0.086;1.652;1.739;6.361;7.084;0.02;0;0;0;0
0.06;0;0.02;0;0;0;0.093;1.66;1.753;6.918;0;0.089;1.657;1.746;6.525;6.918;0.02;0;0;0;0
0.08;0;0.02;0;0;0;0.091;1.652;1.743;6.752;0;0.093;1.653;1.747;6.854;6.752;0.02;0;0;0;0
0.1;0;0.02;0;0;0;0.09;1.644;1.734;6.697;0;0.089;1.644;1.732;6.525;6.697;0.02;0;0;0;0
0.12;0;0.02;0;0;0;0.084;1.627;1.71;6.255;0;0.083;1.631;1.714;6.142;6.255;0.02;0;0;0;0
0.14;0;0.02;0;0;0;0.087;1.649;1.736;6.476;0;0.089;1.65;1.739;6.58;6.476;0.02;0;0;0;0
0.16;0;0.02;0;0;0;0.087;1.661;1.748;6.476;0;0.093;1.656;1.749;6.799;6.476;0.02;0;0;0;0
0.18;0;0.02;0;0;0;0.086;1.653;1.739;6.42;0;0.081;1.656;1.738;6.032;6.42;0.02;0;0;0;0
0.2;0;0.02;0;0;0;0.086;1.643;1.729;6.42;0;0.086;1.64;1.727;6.361;6.42;0.02;0;0;0;0
0.22;0;0.02;0;0;0;0.084;1.628;1.712;6.255;0;0.084;1.63;1.714;6.197;6.255;0.02;0;0;0;0
0.24;0;0.02;0;0;0;0.086;1.647;1.733;6.42;0;0.085;1.65;1.735;6.251;6.42;0.02;0;0;0;0
0.26;0;0.02;0;0;0;0.085;1.659;1.744;6.365;0;0.092;1.656;1.747;6.744;6.365;0.02;0;0;0;0
0.28;0;0.02;0;0;0;0.087;1.654;1.741;6.476;0;0.081;1.656;1.737;6.032;6.476;0.02;0;0;0;0
0.3;0;0.02;0;0;0;0.084;1.644;1.727;6.254;0;0.093;1.64;1.734;6.854;6.254;0.02;0;0;0;0
0.32;0;0.02;0;0;0;0.085;1.635;1.72;6.365;0;0.085;1.631;1.717;6.306;6.365;0.02;0;0;0;0
0.34;0;0.02;0;0;0;0.086;1.651;1.737;6.42;0;0.09;1.646;1.736;6.635;6.42;0.02;0;0;0;0
0.36;0;0.02;0;0;0;0.086;1.66;1.746;6.42;0;0.085;1.661;1.747;6.306;6.42;0.02;0;0;0;0
0.38;0;0.02;0;0;0;0.088;1.654;1.742;6.531;0;0.085;1.655;1.74;6.306;6.531;0.02;0;0;0;0
0.4;0;0.02;0;0;0;0.091;1.641;1.732;6.752;0;0.087;1.644;1.731;6.416;6.752;0.02;0;0;0;0
0.42;0;0.02;0;0;0;0.091;1.63;1.721;6.752;0;0.085;1.631;1.715;6.251;6.752;0.02;0;0;0;0
0.44;0;0.02;0;0;0;0.09;1.653;1.743;6.697;0;0.086;1.651;1.737;6.361;6.697;0.02;0;0;0;0
0.46;0;0.02;0;0;0;0.082;1.662;1.744;6.144;0;0.091;1.661;1.752;6.69;6.144;0.02;0;0;0;0
0.48;0;0.02;0;0;0;0.096;1.65;1.746;7.084;0;0.085;1.655;1.739;6.251;7.084;0.02;0;0;0;0
0.5;0;0.02;0;0;0;0.082;1.647;1.729;6.144;0;0.087;1.642;1.729;6.416;6.144;0.02;0;0;0;0
