t;reset;T;select;inj_bias;vs_int_a;Vshunt_a;Vc_a;Vo_a;Ib_hdwe_a;vs_int_na;Vshunt_na;Vc_na;Vo_na;Ib_hdwe_na;Ib_hdwe;T;Ib_amp_fault;Ib_amp_fail;Ib_noa_fault;Ib_noa_fail
0;0;0.02;0;0;0;0.093;1.628;1.72;6.869;0;0.093;1.629;1.721;6.813;6.869;0.02;0;0;0;0
0.02;0;0.02;0;0;0;0.093;1.644;1.736;6.856;0;0.093;1.644;1.739;6.847;6.856;0.02;0;0;0;0
0.04;0;0.02;0;0;0;0.092;1.661;1.752;6.833;0;0.093;1.66;1.751;6.8;6.833;0.02;0;0;0;0
0.06;0;0.02;0;0;0;0.092;1.656;1.748;6.827;0;0.093;1.654;1.747;6.812;6.827;0.02;0;0;0;0
0.08;0;0.02;0;0;0;0.093;1.66;1.754;6.875;0;0.094;1.657;1.753;6.919;6.875;0.02;0;0;0;0
0.1;0;0.081;0;0;0;0.093;1.655;1.747;6.86;0;0.093;1.653;1.743;6.844;6.86;0.081;0;0;0;0
0.12;0;0.02;0;0;0;0.092;1.644;1.735;6.848;0;0.093;1.641;1.734;6.834;6.848;0.02;0;0;0;0
0.14;0;0.02;0;0;0;0.093;1.627;1.722;6.876;0;0.094;1.626;1.723;6.886;6.876;0.02;0;0;0;0
0.16;0;0.02;0;0;0;0.093;1.652;1.743;6.861;0;0.093;1.652;1.74;6.806;6.861;0.02;0;0;0;0
0.18;0;0.02;0;0;0;0.092;1.66;1.75;6.824;0;0.093;1.658;1.753;6.841;6.824;0.02;0;0;0;0
0.2;0;0.02;0;0;0;0.092;1.65;1.743;6.833;0;0.093;1.652;1.743;6.819;6.833;0.02;0;0;0;0
0.22;0;0.02;0;0;0;0.092;1.644;1.733;6.791;0;0.093;1.64;1.732;6.815;6.791;0.02;0;0;0;0
0.24;0;0.02;0;0;0;0.091;1.631;1.719;6.733;0;0.093;1.631;1.724;6.824;6.733;0.02;0;0;0;0
0.26;0;0.02;0;0;0;0.092;1.652;1.747;6.787;0;0.093;1.652;1.743;6.794;6.787;0.02;0;0;0;0
0.28;0;0.02;0;0;0;0.093;1.661;1.757;6.853;0;0.093;1.657;1.753;6.844;6.853;0.02;0;0;0;0
0.3;0;0.02;0;0;0;0.093;1.649;1.742;6.855;0;0.093;1.653;1.746;6.834;6.855;0.02;0;0;0;0
0.32;0;0.02;0;0;0;0.093;1.643;1.735;6.857;0;0.093;1.638;1.731;6.826;6.857;0.02;0;0;0;0
0.34;0;0.02;0;0;0;0.092;1.628;1.72;6.846;0;0.092;1.632;1.721;6.76;6.846;0.02;0;0;0;0
0.36;0;0.02;0;0;0;0.093;1.646;1.742;6.899;0;0.091;1.648;1.738;6.72;6.899;0.02;0;0;0;0
0.38;0;0.02;0;0;0;0.093;1.663;1.755;6.879;0;0.091;1.663;1.753;6.701;6.879;0.02;0;0;0;0
0.4;0;0.02;0;0;0;0.093;1.653;1.747;6.9;0;0.092;1.65;1.743;6.735;6.9;0.02;0;0;0;0
0.42;0;0.02;0;0;0;0.092;1.645;1.733;6.818;0;0.091;1.643;1.733;6.713;6.818;0.02;0;0;0;0
0.44;0;0.02;0;0;0;0.092;1.631;1.721;6.791;0;0.092;1.628;1.724;6.781;6.791;0.02;0;0;0;0
0.46;0;0.02;0;0;0;0.092;1.651;1.743;6.807;0;0.094;1.648;1.745;6.857;6.807;0.02;0;0;0;0
0.48;0;0.02;0;0;0;0.093;1.658;1.757;6.918;0;0.092;1.662;1.749;6.759;6.918;0.02;0;0;0;0
0.5;0;0.02;0;0;0;0.093;1.652;1.743;6.882;0;0.092;1.651;1.743;6.756;6.882;0.02;0;0;0;0
0.52;0;0.02;0;0;0;0.093;1.64;1.735;6.914;0;0.093;1.64;1.735;6.814;6.914;0.02;0;0;0;0
0.54;0;0.02;0;0;0;0.093;1.629;1.722;6.903;0;0.092;1.629;1.718;6.762;6.903;0.02;0;0;0;0
0.56;0;0.02;0;0;0;0.093;1.653;1.743;6.857;0;0.092;1.652;1.743;6.734;6.857;0.02;0;0;0;0
0.58;0;0.02;0;0;0;0.092;1.663;1.752;6.809;0;0.092;1.659;1.753;6.773;6.809;0.02;0;0;0;0
0.6;0;0.02;0;0;0;0.093;1.648;1.743;6.87;0;0.093;1.65;1.746;6.827;6.87;0.02;0;0;0;0
0.62;0;0.02;0;0;0;0.093;1.641;1.734;6.869;0;0.094;1.64;1.735;6.858;6.869;0.02;0;0;0;0
0.64;0;0.02;0;0;0;0.093;1.627;1.72;6.868;0;0.093;1.626;1.718;6.845;6.868;0.02;0;0;0;0
0.66;0;0.02;0;0;0;0.092;1.652;1.742;6.818;0;0.094;1.65;1.747;6.895;6.818;0.02;0;0;0;0
0.68;0;0.02;0;0;0;0.093;1.656;1.753;6.902;0;0.094;1.658;1.752;6.886;6.902;0.02;0;0;0;0
0.7;0;0.02;0;0;0;0.094;1.649;1.746;6.955;0;0.092;1.653;1.738;6.745;6.955;0.02;0;0;0;0
0.72;0;0.02;0;0;0;0.092;1.647;1.733;6.837;0;0.092;1.64;1.731;6.733;6.837;0.02;0;0;0;0
0.74;0;0.02;0;0;0;0.093;1.628;1.722;6.855;0;0.092;1.629;1.722;6.747;6.855;0.02;0;0;0;0
0.76;0;0.02;0;0;0;0.092;1.65;1.739;6.795;0;0.092;1.652;1.745;6.759;6.795;0.02;0;0;0;0
0.78;0;0.02;0;0;0;0.092;1.66;1.753;6.823;0;0.092;1.66;1.754;6.78;6.823;0.02;0;0;0;0
0.8;0;0.02;0;0;0;0.092;1.653;1.746;6.832;0;0.093;1.65;1.746;6.833;6.832;0.02;0;0;0;0
0.82;0;0.02;0;0;0;0.092;1.643;1.733;6.802;0;0.094;1.64;1.735;6.862;6.802;0.02;0;0;0;0
0.84;0;0.02;0;0;0;0.092;1.627;1.718;6.791;0;0.092;1.631;1.72;6.787;6.791;0.02;0;0;0;0
0.86;0;0.02;0;0;0;0.092;1.649;1.743;6.832;0;0.093;1.649;1.744;6.827;6.832;0.02;0;0;0;0
0.88;0;0.02;0;0;0;0.092;1.661;1.752;6.814;0;0.092;1.659;1.749;6.784;6.814;0.02;0;0;0;0
0.9;0;0.02;0;0;0;0.092;1.656;1.75;6.837;0;0.092;1.653;1.744;6.763;6.837;0.02;0;0;0;0
0.92;0;0.02;0;0;0;0.093;1.639;1.735;6.892;0;0.094;1.64;1.74;6.881;6.892;0.02;0;0;0;0
0.94;0;0.02;0;0;0;0.092;1.63;1.719;6.836;0;0.094;1.628;1.722;6.875;6.836;0.02;0;0;0;0
0.96;0;0.02;0;0;0;0.093;1.649;1.743;6.854;0;0.094;1.648;1.743;6.894;6.854;0.02;0;0;0;0
0.98;0;0.02;0;0;0;0.093;1.66;1.754;6.868;0;0.094;1.657;1.752;6.898;6.868;0.02;0;0;0;0
1;0;0.02;0;0;0;0.092;1.653;1.744;6.842;0;0.093;1.652;1.743;6.839;6.842;0.02;0;0;0;0
1.02;0;0.02;0;0;0;0.092;1.644;1.735;6.823;0;0.093;1.641;1.734;6.83;6.823;0.02;0;0;0;0
1.04;0;0.02;0;0;0;0.091;1.634;1.72;6.732;0;0.094;1.627;1.723;6.872;6.732;0.02;0;0;0;0
1.06;0;0.02;0;0;0;0.091;1.649;1.74;6.737;0;0.094;1.652;1.747;6.892;6.737;0.02;0;0;0;0
1.08;0;0.02;0;0;0;0.092;1.659;1.755;6.814;0;0.094;1.659;1.753;6.896;6.814;0.02;0;0;0;0
1.1;0;0.02;0;0;0;0.093;1.652;1.747;6.874;0;0.094;1.65;1.742;6.862;6.874;0.02;0;0;0;0
1.12;0;0.02;0;0;0;0.093;1.638;1.733;6.909;0;0.092;1.642;1.728;6.751;6.909;0.02;0;0;0;0
1.14;0;0.02;0;0;0;0.092;1.629;1.715;6.799;0;0.092;1.63;1.722;6.75;6.799;0.02;0;0;0;0
