unit,               hm,                  cTime,        T,       sat,sel,mod,  Tb,  Vb,  Ib,        Vsat,Vdyn,Voc,Voc_ekf,     y_ekf,    soc_m,soc_ekf,soc,soc_wt
pro_20220528, 2022-06-05T05:15:59,47787365.848,0.17,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000088,1,1,1,1
pro_20220528, 2022-06-05T05:16:00,47787366.247,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000012,1,1,1,1
pro_20220528, 2022-06-05T05:16:00,47787366.647,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-05T05:16:01,47787367.047,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:01,47787367.448,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:01,47787367.847,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:02,47787368.247,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:02,47787368.648,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:02,47787369.048,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:03,47787369.448,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-05T05:16:03,47787369.848,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:04,47787370.248,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:04,47787370.648,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:04,47787370.750,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-05T05:16:04,47787370.850,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-05T05:16:04,47787370.949,0.1,1,0,15,25,15.03,-25.132,13.8,-0.08,15.11,15.03,0.076243,1,1,1,1
pro_20220528, 2022-06-05T05:16:04,47787371.049,0.1,1,0,15,25,14.95,-50.26,13.8,-0.17,15.13,15.03,0.096812,1,1,1,1
pro_20220528, 2022-06-05T05:16:05,47787371.149,0.1,1,0,15,25,14.86,-75.38,13.8,-0.28,15.13,15.03,0.106709,1,1,1,1
pro_20220528, 2022-06-05T05:16:05,47787371.249,0.1,1,0,15,25,14.75,-100.489,13.8,-0.39,15.14,15.03,0.110953,1,1,1,1
pro_20220528, 2022-06-05T05:16:05,47787371.350,0.1,1,0,15,25,14.64,-125.581,13.8,-0.5,15.14,15.03,0.112066,1,1,1,1
pro_20220528, 2022-06-05T05:16:05,47787371.450,0.1,1,0,15,25,14.52,-150.654,13.8,-0.62,15.14,15.02,0.111304,1,1,1,1
pro_20220528, 2022-06-05T05:16:05,47787371.549,0.1,1,0,15,25,14.4,-175.702,13.8,-0.73,15.13,15.02,0.10929,1,1,1,1
pro_20220528, 2022-06-05T05:16:05,47787371.649,0.1,1,0,15,25,14.28,-200.723,13.8,-0.85,15.13,15.02,0.106341,1,1,1,1
pro_20220528, 2022-06-05T05:16:05,47787371.750,0.1,1,0,15,25,14.16,-225.713,13.8,-0.97,15.13,15.02,0.102611,1,1,1,1
pro_20220528, 2022-06-05T05:16:05,47787371.944,0.142,1,0,15,25,13.91,-275.581,13.8,-1.2,15.11,15.02,0.096988,1,1,1,1
