fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_min, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-06-17T18:04:30, 1687025070,   0.000,  14.180,   0.000,   0.000,  25.000,  14.180,  35.308,  0.8991,  0.0140,  0.8990,  13.352,  13.302,  -0.003, 0, 0,
unit_f, 2023-06-17T18:04:40, 1687025080,   0.000,  13.857,   0.000,   0.000,  25.000,  13.857,  15.870,  0.8998,  0.0140,  0.8998,  13.362,  13.302,  -0.003, 0, 0,
unit_f, 2023-06-17T18:04:51, 1687025091,   0.000,  13.552,   0.000,   0.000,  25.000,  13.552,   0.000,  0.8999,  0.0140,  0.8999,  13.357,  13.299,  -0.002, 0, 0,
unit_f, 2023-06-17T18:05:01, 1687025101,   0.000,  13.483,   0.000,   0.000,  25.000,  13.483,   0.000,  0.8999,  0.0140,  0.8999,  13.353,  13.299,   0.000, 0, 0,
unit_f, 2023-06-17T18:05:11, 1687025111,   0.000,  13.438,   0.000,   0.000,  25.000,  13.438,   0.000,  0.8999,  0.0140,  0.8999,  13.352,  13.299,   0.000, 0, 0,
unit_f, 2023-06-17T18:05:21, 1687025121,   0.000,  13.408,   0.000,   0.000,  25.000,  13.408,   0.000,  0.8999,  0.0140,  0.8999,  13.350,  13.299,   0.000, 0, 0,
unit_f, 2023-06-17T18:05:31, 1687025131,   0.000,  13.387,   0.000,   0.000,  25.000,  13.387,   0.000,  0.8999,  0.0140,  0.8999,  13.348,  13.298,   0.000, 0, 0,
unit_f, 2023-06-17T18:04:30, 1687025070,   0.000,  14.180,   0.000,   0.000,  25.000,  14.180,  35.308,  0.8991,  0.0140,  0.8990,  13.352,  13.302,  -0.003, 0, 0,
unit_f, 2023-06-17T18:04:40, 1687025080,   0.000,  13.857,   0.000,   0.000,  25.000,  13.857,  15.870,  0.8998,  0.0140,  0.8998,  13.362,  13.302,  -0.003, 0, 0,
unit_f, 2023-06-17T18:04:51, 1687025091,   0.000,  13.552,   0.000,   0.000,  25.000,  13.552,   0.000,  0.8999,  0.0140,  0.8999,  13.357,  13.299,  -0.002, 0, 0,
unit_f, 2023-06-17T18:05:01, 1687025101,   0.000,  13.483,   0.000,   0.000,  25.000,  13.483,   0.000,  0.8999,  0.0140,  0.8999,  13.353,  13.299,   0.000, 0, 0,
unit_f, 2023-06-17T18:05:11, 1687025111,   0.000,  13.438,   0.000,   0.000,  25.000,  13.438,   0.000,  0.8999,  0.0140,  0.8999,  13.352,  13.299,   0.000, 0, 0,
unit_f, 2023-06-17T18:05:21, 1687025121,   0.000,  13.408,   0.000,   0.000,  25.000,  13.408,   0.000,  0.8999,  0.0140,  0.8999,  13.350,  13.299,   0.000, 0, 0,
unit_f, 2023-06-17T18:05:31, 1687025131,   0.000,  13.387,   0.000,   0.000,  25.000,  13.387,   0.000,  0.8999,  0.0140,  0.8999,  13.348,  13.298,   0.000, 0, 0,
