unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230617,2023-06-17T05:04:15,-10.756,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:15,-10.656,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:15,-10.553,  0.103,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:15,-10.453,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:15,-10.353,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:15,-10.253,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16,-10.153,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16,-10.053,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16, -9.953,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16, -9.853,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16, -9.753,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16, -9.653,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16, -9.553,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16, -9.453,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16, -9.353,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
mon_rep230617,2023-06-17T05:04:16, -9.253,  0.100,0,0,247, 25.000,  9.967,  0.000,  0.000,  9.967, 13.800,  0.000,  9.967,  9.967, -0.000,  0.014,  0.014,  0.014,
