unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230710,2023-07-10T11:35:14,  0.000,  0.100,0,0,0, 24.062, 13.358, -0.179, -0.187, 13.163, 13.796, -0.002, 13.361, 13.264,  0.097,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:14,  0.100,  0.100,0,0,0, 24.062, 13.371,  0.115, -0.158, 13.163, 13.796,  0.001, 13.370, 13.264,  0.107,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:14,  0.204,  0.104,0,0,0, 24.062, 13.337, -0.081, -0.099, 13.163, 13.796, -0.001, 13.338, 13.264,  0.074,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:14,  0.304,  0.100,0,0,0, 24.062, 13.345, -0.326, -0.212, 13.163, 13.796, -0.004, 13.350, 13.264,  0.086,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:14,  0.404,  0.100,0,0,0, 24.062, 13.375, -0.472, -0.216, 13.163, 13.796, -0.006, 13.382, 13.264,  0.118,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:14,  0.504,  0.100,0,0,0, 24.062, 13.380, -0.375, -0.077, 13.163, 13.796, -0.005, 13.385, 13.264,  0.121,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:14,  0.604,  0.100,0,0,0, 24.062, 13.371,  0.017, -0.160, 13.163, 13.796,  0.000, 13.372, 13.264,  0.108,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:15,  0.704,  0.100,0,0,0, 24.062, 13.328, -0.717, -0.189, 13.163, 13.796, -0.009, 13.338, 13.264,  0.074,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:15,  0.804,  0.100,0,0,0, 24.062, 13.380,  0.212, -0.077, 13.163, 13.796,  0.003, 13.377, 13.264,  0.113,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:15,  0.904,  0.100,0,0,0, 24.062, 13.332, -0.423, -0.244, 13.163, 13.796, -0.005, 13.339, 13.264,  0.075,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:15,  1.004,  0.100,0,0,0, 24.062, 13.337,  0.457, -0.245, 13.163, 13.796,  0.005, 13.333, 13.264,  0.069,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:15,  1.104,  0.100,0,0,0, 24.062, 13.354, -0.179, -0.241, 13.163, 13.796, -0.002, 13.358, 13.264,  0.069,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:15,  1.204,  0.100,0,0,0, 24.062, 13.341, -0.375, -0.241, 13.163, 13.796, -0.005, 13.347, 13.264,  0.069,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:15,  1.304,  0.100,0,0,0, 24.062, 13.350, -0.326, -0.241, 13.163, 13.796, -0.004, 13.355, 13.264,  0.069,  0.696,  0.955,  0.696,
mon_rep230710,2023-07-10T11:35:15,  1.404,  0.100,0,0,0, 24.062, 13.358, -0.472, -0.242, 13.163, 13.796, -0.006, 13.365, 13.264,  0.069,  0.696,  0.955,  0.696,
