unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230716,2023-07-16T15:08:06,  0.000,  1.000,1,0,0, 26.688, 13.624,  6.388,-23.074, 14.500, 13.807,  0.079, 13.845, 13.768,  0.078,  1.000,  0.995,  1.000,
mon_rep230716,2023-07-16T15:08:07,  1.000,  1.000,1,0,0, 26.688, 13.602,  6.004,-23.100, 14.500, 13.807,  0.074, 13.829, 13.770,  0.058,  1.000,  0.995,  1.000,
mon_rep230716,2023-07-16T15:08:08,  2.000,  1.000,1,0,0, 26.688, 13.637,  6.114,-23.077, 14.500, 13.807,  0.075, 13.862, 13.780,  0.082,  1.000,  0.995,  1.000,
mon_rep230716,2023-07-16T15:08:09,  3.000,  1.000,1,0,0, 26.688, 13.615,  5.457,-23.077, 14.500, 13.807,  0.068, 13.848, 13.780,  0.082,  1.000,  0.995,  1.000,
mon_rep230716,2023-07-16T15:08:10,  4.000,  1.000,1,0,0, 26.688, 13.611,  5.676,-23.077, 14.500, 13.807,  0.070, 13.841, 13.796,  0.045,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:11,  5.000,  1.000,1,0,0, 26.687, 13.607,  5.292,-23.077, 14.500, 13.807,  0.066, 13.841, 13.796,  0.045,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:12,  6.000,  1.000,1,0,0, 26.687, 13.611,  5.621,-23.077, 14.500, 13.807,  0.070, 13.842, 13.810,  0.032,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:13,  7.000,  1.000,1,0,0, 26.687, 13.637,  5.895,-23.077, 14.500, 13.807,  0.073, 13.864, 13.810,  0.032,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:14,  8.000,  1.000,1,0,0, 26.687, 13.602,  5.895,-23.077, 14.500, 13.807,  0.073, 13.830, 13.823,  0.007,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:15,  9.000,  1.000,1,0,0, 26.687, 13.620,  5.566,-23.077, 14.500, 13.807,  0.069, 13.851, 13.823,  0.007,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:16, 10.000,  1.000,1,0,0, 26.687, 13.658,  5.950,-23.077, 14.500, 13.807,  0.073, 13.885, 13.830,  0.055,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:17, 11.000,  1.000,1,0,0, 26.687, 13.607,  6.169,-23.077, 14.500, 13.807,  0.076, 13.831, 13.830,  0.055,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:18, 12.000,  1.000,1,0,0, 26.687, 13.624,  5.950,-23.077, 14.500, 13.807,  0.073, 13.851, 13.854, -0.003,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:19, 13.000,  1.000,1,0,0, 26.687, 13.637,  5.840,-23.077, 14.500, 13.807,  0.072, 13.865, 13.854, -0.003,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:20, 14.000,  1.000,1,0,0, 26.687, 13.602,  5.731,-23.077, 14.500, 13.807,  0.071, 13.832, 13.858, -0.026,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:21, 15.000,  1.000,1,0,0, 26.687, 13.641,  5.731,-23.077, 14.500, 13.807,  0.071, 13.870, 13.858, -0.026,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:22, 16.000,  1.000,1,0,0, 26.687, 13.602,  5.950,-23.077, 14.500, 13.807,  0.073, 13.829, 13.853, -0.023,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:23, 17.027,  1.027,1,0,0, 26.687, 13.598,  6.059,-23.077, 14.500, 13.807,  0.074, 13.824, 13.853, -0.023,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:24, 18.027,  1.000,1,0,0, 26.687, 13.628,  6.114,-23.077, 14.500, 13.807,  0.075, 13.853, 13.849,  0.004,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:25, 19.027,  1.000,1,0,0, 26.687, 13.615,  6.223,-23.077, 14.500, 13.807,  0.076, 13.839, 13.849,  0.004,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:26, 20.027,  1.000,1,0,0, 26.687, 13.650,  6.223,-23.077, 14.500, 13.807,  0.076, 13.873, 13.856,  0.017,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:27, 21.027,  1.000,1,0,0, 26.687, 13.611,  5.895,-23.077, 14.500, 13.807,  0.073, 13.838, 13.856,  0.017,  1.000,  0.996,  1.000,
mon_rep230716,2023-07-16T15:08:28, 22.027,  1.000,1,0,0, 26.687, 13.620,  6.059,-23.077, 14.500, 13.807,  0.074, 13.845, 13.868, -0.023,  1.000,  0.996,  1.000,
