=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.10 08:28:43 =~=~=~=~=~=~=~=~=~=~=~=
v-99;echo: v-99, 4
echo: v-99, 0
sp.debug 0 to -99
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370879.6, 0.9842210,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2278,-0.0228, 0.0000,-0.0228,    370879.6, 0.9842210,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370879.6, 0.9842210,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370879.6, 0.9842210,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0167, 0.0017, 0.0000, 0.0017,    370879.6, 0.9842210,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4724,-0.0472, 0.0000,-0.0472,    370879.5, 0.9842209,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370879.5, 0.9842207,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370879.4, 0.9842207,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370879.4, 0.9842206,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370879.4, 0.9842205,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370879.4, 0.9842205,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.7169,-0.0717, 0.0000,-0.0717,    370879.3, 0.9842203,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.1146, 0.0115, 0.0000, 0.0114,    370879.3, 0.9842203,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370879.3, 0.9842203,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.1635, 0.0163, 0.0000, 0.0163,    370879.3, 0.9842203,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370879.3, 0.9842203,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3256,-0.0326, 0.0000,-0.0326,    370879.3, 0.9842202,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370879.2, 0.9842201,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2278,-0.0228, 0.0000,-0.0228,    370879.2, 0.9842201,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370879.2, 0.9842200,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370879.2, 0.9842199,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.5213,-0.0521, 0.0000,-0.0521,    370879.1, 0.9842198,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370879.1, 0.9842198,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370879.1, 0.9842197,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370879.1, 0.9842197,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370879.1, 0.9842197,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4724,-0.0472, 0.0000,-0.0472,    370879.0, 0.9842196,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370879.0, 0.9842196,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370879.0, 0.9842194,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3256,-0.0326, 0.0000,-0.0326,    370878.9, 0.9842193,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370878.9, 0.9842192,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.1635, 0.0163, 0.0000, 0.0163,    370878.9, 0.9842193,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370878.9, 0.9842193,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4724,-0.0472, 0.0000,-0.0472,    370878.8, 0.9842191,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.1146, 0.0115, 0.0000, 0.0114,    370878.9, 0.9842191,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.5213,-0.0521, 0.0000,-0.0521,    370878.8, 0.9842190,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370878.8, 0.9842190,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0167, 0.0017, 0.0000, 0.0017,    370878.8, 0.9842190,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2278,-0.0228, 0.0000,-0.0228,    370878.8, 0.9842189,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.7658,-0.0766, 0.0000,-0.0766,    370878.7, 0.9842187,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.6191,-0.0619, 0.0000,-0.0619,    370878.6, 0.9842185,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0167, 0.0017, 0.0000, 0.0017,    370878.6, 0.9842185,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.3102, 0.0310, 0.0000, 0.0310,    370878.7, 0.9842186,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.2124, 0.0212, 0.0000, 0.0212,    370878.7, 0.9842187,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.2613, 0.0261, 0.0000, 0.0261,    370878.7, 0.9842187,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2767,-0.0277, 0.0000,-0.0277,    370878.7, 0.9842187,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.6680,-0.0668, 0.0000,-0.0668,    370878.6, 0.9842185,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0656, 0.0066, 0.0000, 0.0066,    370878.6, 0.9842185,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.6, 0.9842184,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2278,-0.0228, 0.0000,-0.0228,    370878.6, 0.9842184,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370878.5, 0.9842183,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370878.5, 0.9842183,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370878.5, 0.9842182,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.5, 0.9842181,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3256,-0.0326, 0.0000,-0.0326,    370878.5, 0.9842181,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2278,-0.0228, 0.0000,-0.0228,    370878.4, 0.9842180,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.5702,-0.0570, 0.0000,-0.0570,    370878.4, 0.9842178,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-6.4121,    370878.6, 0.9842011,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0167, 0.0017, 0.0000,-6.4024,    370878.8, 0.9841844,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-3.1037,    370878.9, 0.9841763,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3256,-0.0326, 0.0000,-0.0326,    370878.9, 0.9841762,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370878.9, 0.9841761,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370878.8, 0.9841761,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370878.8, 0.9841760,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.3102, 0.0310, 0.0000, 0.0310,    370878.9, 0.9841761,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370878.9, 0.9841761,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0167, 0.0017, 0.0000, 0.0017,    370878.9, 0.9841761,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.8, 0.9841760,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370878.8, 0.9841760,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370878.8, 0.9841760,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.8, 0.9841759,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4724,-0.0472, 0.0000,-0.0472,    370878.7, 0.9841757,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2278,-0.0228, 0.0000,-0.0228,    370878.7, 0.9841757,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370878.7, 0.9841756,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370878.7, 0.9841756,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370878.6, 0.9841755,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370878.6, 0.9841755,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2767,-0.0277, 0.0000,-0.0277,    370878.6, 0.9841754,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.6, 0.9841753,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.5, 0.9841752,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2767,-0.0277, 0.0000,-0.0277,    370878.5, 0.9841751,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.5, 0.9841750,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2767,-0.0277, 0.0000,-0.0277,    370878.4, 0.9841750,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2767,-0.0277, 0.0000,-0.0277,    370878.4, 0.9841749,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.2613, 0.0261, 0.0000, 0.0261,    370878.4, 0.9841750,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2767,-0.0277, 0.0000,-0.0277,    370878.4, 0.9841749,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4724,-0.0472, 0.0000,-0.0472,    370878.3, 0.9841747,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0656, 0.0066, 0.0000, 0.0066,    370878.4, 0.9841748,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370878.4, 0.9841748,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370878.3, 0.9841747,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2278,-0.0228, 0.0000,-0.0228,    370878.3, 0.9841746,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370878.3, 0.9841745,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.7658,-0.0766, 0.0000,-0.0766,    370878.2, 0.9841744,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.2, 0.9841743,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3256,-0.0326, 0.0000,-0.0326,    370878.1, 0.9841741,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370878.1, 0.9841741,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370878.1, 0.9841741,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.5702,-0.0570, 0.0000,-0.0570,    370878.0, 0.9841740,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370878.0, 0.9841738,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.0, 0.9841738,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370877.9, 0.9841737,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.6191,-0.0619, 0.0000,-0.0619,    370877.9, 0.9841735,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370877.9, 0.9841735,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370877.8, 0.9841734,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370877.8, 0.9841733,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370877.8, 0.9841733,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370877.8, 0.9841733,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370877.8, 0.9841732,
