=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.25 16:13:48 =~=~=~=~=~=~=~=~=~=~=~=


saved (sp) diffs
 Modeling bitmap              1 ->       247,       [0x] (* Xm)
Reset to defaults? [Y/n]:n N.  moving on...

End setup()

Ib Amp sense ADC pin 13 started using TSC2010
Ib No Amp sense ADC pin 11 started using TSC2010
DS18 1-wire Tb started
Vb sense ADC pin started
Shunt dt(): sample_time_ 20223 sample_time_z_ 0
Shunt dt(): sample_time_ 20322 sample_time_z_ 20223
Shunt dt(): sample_time_ 20422 sample_time_z_ 20322
Shunt dt(): sample_time_ 20522 sample_time_z_ 20422
Shunt dt(): sample_time_ 20622 sample_time_z_ 20522
Shunt dt(): sample_time_ 20722 sample_time_z_ 20622
Shunt dt(): sample_time_ 20822 sample_time_z_ 20722
Shunt dt(): sample_time_ 20922 sample_time_z_ 20822
Shunt dt(): sample_time_ 21022 sample_time_z_ 20922
Shunt dt(): sample_time_ 21122 sample_time_z_ 21022
Shunt dt(): sample_time_ 21222 sample_time_z_ 21122
Shunt dt(): sample_time_ 21322 sample_time_z_ 21222
Shunt dt(): sample_time_ 21422 sample_time_z_ 21322
Shunt dt(): sample_time_ 21522 sample_time_z_ 21422
Shunt dt(): sample_time_ 21622 sample_time_z_ 21522
Shunt dt(): sample_time_ 21722 sample_time_z_ 21622
Shunt dt(): sample_time_ 21822 sample_time_z_ 21722
Shunt dt(): sample_time_ 21922 sample_time_z_ 21822
Shunt dt(): sample_time_ 22022 sample_time_z_ 21922
Shunt dt(): sample_time_ 22122 sample_time_z_ 22022
Shunt dt(): sample_time_ 22222 sample_time_z_ 22122
Shunt dt(): sample_time_ 22322 sample_time_z_ 22222
Shunt dt(): sample_time_ 22422 sample_time_z_ 22322
Shunt dt(): sample_time_ 22522 sample_time_z_ 22422
Shunt dt(): sample_time_ 22622 sample_time_z_ 22522
Shunt dt(): sample_time_ 22722 sample_time_z_ 22622
Shunt dt(): sample_time_ 22822 sample_time_z_ 22722
Shunt dt(): sample_time_ 22922 sample_time_z_ 22822
Shunt dt(): sample_time_ 23022 sample_time_z_ 22922
Shunt dt(): sample_time_ 23122 sample_time_z_ 23022
Shunt dt(): sample_time_ 23222 sample_time_z_ 23122
Shunt dt(): sample_time_ 23322 sample_time_z_ 23222
Shunt dt(): sample_time_ 23422 sample_time_z_ 23322
Shunt dt(): sample_time_ 23522 sample_time_z_ 23422
Shunt dt(): sample_time_ 23622 sample_time_z_ 23522
Shunt dt(): sample_time_ 23722 sample_time_z_ 23622
Shunt dt(): sample_time_ 23822 sample_time_z_ 23722
Shunt dt(): sample_time_ 23922 sample_time_z_ 23822
Shunt dt(): sample_time_ 24022 sample_time_z_ 23922
Shunt dt(): sample_time_ 24122 sample_time_z_ 24022
Shunt dt(): sample_time_ 24222 sample_time_z_ 24122
Shunt dt(): sample_time_ 24322 sample_time_z_ 24222
Shunt dt(): sample_time_ 24422 sample_time_z_ 24322
Shunt dt(): sample_time_ 24522 sample_time_z_ 24422
Shunt dt(): sample_time_ 24622 sample_time_z_ 24522
Shunt dt(): sample_time_ 24722 sample_time_z_ 24622
