=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.25 16:38:25 =~=~=~=~=~=~=~=~=~=~=~=


saved (sp) diffs
 Verbosity                    0 ->         1,        int (* vv)
 Modeling bitmap              1 ->       247,       [0x] (* Xm)
Reset to defaults? [Y/n]:n N.  moving on...

End setup()

Ib Amp sense ADC pin 13 started using TSC2010
Ib No Amp sense ADC pin 11 started using TSC2010
DS18 1-wire Tb started
Vb sense ADC pin started
unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min,
g20240109_pro3p2_bb, 2000-01-01T01:34:44,   946691.035, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:44,   946691.435, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:45,   946691.836, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:45,   946692.261, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:45,   946692.662, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:46,   946693.062, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:46,   946693.463, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:47,   946693.863, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:47,   946694.264, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:47,   946694.664, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:48,   946695.065, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:48,   946695.466, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:49,   946695.866, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:49,   946696.267, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
Dg20240109_pro3p2_bb, 2000-01-01T01:34:49,   946696.668, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:50,   946697.068, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
rg20240109_pro3p2_bb, 2000-01-01T01:34:50,   946697.469, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:51,   946697.869, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:51,   946698.270, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:51,   946698.671, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:52,   946699.071, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:52,   946699.471, 0.100, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
1;cmd: Dr1
 Minor frame            100000 ->     100000,         ms (  Dr)
 Minor frame            100000 ->          1,         ms (  Dr)
g20240109_pro3p2_bb, 2000-01-01T01:34:53,   946699.879, 0.108, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:53,   946699.909, 0.001, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
g20240109_pro3p2_bb, 2000-01-01T01:34:53,   946699.939, 0.001, 0, 360000,1, 1, 247, 0, 15.000,13.000,    0.000,    0.000,13.00000,  13.00000,0.00000,13.00000,0.00000,   0.000000, 1.00000,1.00000,1.00000,0.000,
