unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
soc1a_20221220, 2000-01-01T00:02:21,       141.370, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:21,       141.470, 0.105,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:21,       141.575, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:21,       141.675, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:21,       141.775, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:22,       141.875, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:22,       141.975, 0.152,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:22,       142.127, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:22,       142.227, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
soc1a_20221220, 2000-01-01T00:02:22,       142.327, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26770,    13.80000,0.00000,13.26770,13.26770,   0.000000, 0.97622,0.97623,0.97622,
