unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
soc1a_20221220, 2000-01-01T00:07:42,       462.782, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       462.882, 0.105,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       462.987, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       463.087, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       463.187, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       463.287, 0.101,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       463.388, 0.099,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       463.487, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       463.587, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
soc1a_20221220, 2000-01-01T00:07:43,       463.687, 0.100,   0,  0,  0,  7,  0, 25.0,13.268,     0.000,     0.000,     0.000,13.26751,    13.80000,0.00000,13.26751,13.26751,   0.000000, 0.97503,0.97503,0.97503,
