fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-01-28T09:24:35, 1674897875,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:24:45, 1674897885,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:24:55, 1674897895,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:05, 1674897905,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:15, 1674897915,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:25, 1674897925,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:35, 1674897935,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:05, 1674897905,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:15, 1674897915,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:25, 1674897925,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:35, 1674897935,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  0.9999,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2023-01-28T09:25:47, 1674897947,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,  50.000,  0.5007,  0.5008,  12.827,  12.760,   0.207, 256, 0,
unit_f, 2023-01-28T09:25:57, 1674897957,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,  50.000,  0.5021,  0.5021,  12.785,  12.613,   0.407, 416, 256,
unit_f, 2023-01-28T09:26:05, 1674897965,   0.000,  13.079,   0.000,   0.000,  25.000,  13.079,   0.000,  0.5032,  0.5032,  12.755,  12.508,   0.521, 416, 288,
